date,indicator,value,entity
2020-07-15,Daily hospital occupancy,33760.0,United States
2020-07-16,Daily hospital occupancy,38539.0,United States
2020-07-17,Daily hospital occupancy,40062.0,United States
2020-07-18,Daily hospital occupancy,40376.0,United States
2020-07-19,Daily hospital occupancy,37897.0,United States
2020-07-20,Daily hospital occupancy,41140.0,United States
2020-07-21,Daily hospital occupancy,42195.0,United States
2020-07-22,Daily hospital occupancy,46107.0,United States
2020-07-23,Daily hospital occupancy,47836.0,United States
2020-07-24,Daily hospital occupancy,46750.0,United States
2020-07-25,Daily hospital occupancy,51833.0,United States
2020-07-26,Daily hospital occupancy,42899.0,United States
2020-07-27,Daily hospital occupancy,47167.0,United States
2020-07-28,Daily hospital occupancy,48114.0,United States
2020-07-29,Daily hospital occupancy,45616.0,United States
2020-07-30,Daily hospital occupancy,46832.0,United States
2020-07-31,Daily hospital occupancy,46150.0,United States
2020-08-01,Daily hospital occupancy,50419.0,United States
2020-08-02,Daily hospital occupancy,50238.0,United States
2020-08-03,Daily hospital occupancy,45291.0,United States
2020-08-04,Daily hospital occupancy,45134.0,United States
2020-08-05,Daily hospital occupancy,44663.0,United States
2020-08-06,Daily hospital occupancy,43891.0,United States
2020-08-07,Daily hospital occupancy,43210.0,United States
2020-08-08,Daily hospital occupancy,41593.0,United States
2020-08-09,Daily hospital occupancy,41484.0,United States
2020-08-10,Daily hospital occupancy,42072.0,United States
2020-08-11,Daily hospital occupancy,41645.0,United States
2020-08-12,Daily hospital occupancy,41817.0,United States
2020-08-13,Daily hospital occupancy,41240.0,United States
2020-08-14,Daily hospital occupancy,39980.0,United States
2020-08-15,Daily hospital occupancy,38699.0,United States
2020-08-16,Daily hospital occupancy,38850.0,United States
2020-08-17,Daily hospital occupancy,39032.0,United States
2020-08-18,Daily hospital occupancy,38897.0,United States
2020-08-19,Daily hospital occupancy,38002.0,United States
2020-08-20,Daily hospital occupancy,37321.0,United States
2020-08-21,Daily hospital occupancy,35989.0,United States
2020-08-22,Daily hospital occupancy,34888.0,United States
2020-08-23,Daily hospital occupancy,34609.0,United States
2020-08-24,Daily hospital occupancy,34791.0,United States
2020-08-25,Daily hospital occupancy,34479.0,United States
2020-08-26,Daily hospital occupancy,33624.0,United States
2020-08-27,Daily hospital occupancy,33285.0,United States
2020-08-28,Daily hospital occupancy,31898.0,United States
2020-08-29,Daily hospital occupancy,31178.0,United States
2020-08-30,Daily hospital occupancy,31075.0,United States
2020-08-31,Daily hospital occupancy,31395.0,United States
2020-09-01,Daily hospital occupancy,31118.0,United States
2020-09-02,Daily hospital occupancy,30827.0,United States
2020-09-03,Daily hospital occupancy,30296.0,United States
2020-09-04,Daily hospital occupancy,29879.0,United States
2020-09-05,Daily hospital occupancy,28845.0,United States
2020-09-06,Daily hospital occupancy,28369.0,United States
2020-09-07,Daily hospital occupancy,28589.0,United States
2020-09-08,Daily hospital occupancy,28951.0,United States
2020-09-09,Daily hospital occupancy,28775.0,United States
2020-09-10,Daily hospital occupancy,28065.0,United States
2020-09-11,Daily hospital occupancy,27368.0,United States
2020-09-12,Daily hospital occupancy,26496.0,United States
2020-09-13,Daily hospital occupancy,26329.0,United States
2020-09-14,Daily hospital occupancy,26788.0,United States
2020-09-15,Daily hospital occupancy,26935.0,United States
2020-09-16,Daily hospital occupancy,26372.0,United States
2020-09-17,Daily hospital occupancy,26085.0,United States
2020-09-18,Daily hospital occupancy,25833.0,United States
2020-09-19,Daily hospital occupancy,25481.0,United States
2020-09-20,Daily hospital occupancy,25543.0,United States
2020-09-21,Daily hospital occupancy,26379.0,United States
2020-09-22,Daily hospital occupancy,26440.0,United States
2020-09-23,Daily hospital occupancy,26484.0,United States
2020-09-24,Daily hospital occupancy,26407.0,United States
2020-09-25,Daily hospital occupancy,26275.0,United States
2020-09-26,Daily hospital occupancy,25904.0,United States
2020-09-27,Daily hospital occupancy,25970.0,United States
2020-09-28,Daily hospital occupancy,27021.0,United States
2020-09-29,Daily hospital occupancy,27505.0,United States
2020-09-30,Daily hospital occupancy,27669.0,United States
2020-10-01,Daily hospital occupancy,27478.0,United States
2020-10-02,Daily hospital occupancy,27407.0,United States
2020-10-03,Daily hospital occupancy,27271.0,United States
2020-10-04,Daily hospital occupancy,27871.0,United States
2020-10-05,Daily hospital occupancy,28956.0,United States
2020-10-06,Daily hospital occupancy,30005.0,United States
2020-10-07,Daily hospital occupancy,30543.0,United States
2020-10-08,Daily hospital occupancy,31015.0,United States
2020-10-09,Daily hospital occupancy,31207.0,United States
2020-10-10,Daily hospital occupancy,30981.0,United States
2020-10-11,Daily hospital occupancy,31435.0,United States
2020-10-12,Daily hospital occupancy,32780.0,United States
2020-10-13,Daily hospital occupancy,33507.0,United States
2020-10-14,Daily hospital occupancy,33936.0,United States
2020-10-15,Daily hospital occupancy,34388.0,United States
2020-10-16,Daily hospital occupancy,34641.0,United States
2020-10-17,Daily hospital occupancy,34322.0,United States
2020-10-18,Daily hospital occupancy,35016.0,United States
2020-10-19,Daily hospital occupancy,36432.0,United States
2020-10-20,Daily hospital occupancy,37414.0,United States
2020-10-21,Daily hospital occupancy,38115.0,United States
2020-10-22,Daily hospital occupancy,38849.0,United States
2020-10-23,Daily hospital occupancy,39080.0,United States
2020-10-24,Daily hospital occupancy,39342.0,United States
2020-10-25,Daily hospital occupancy,39988.0,United States
2020-10-26,Daily hospital occupancy,41336.0,United States
2020-10-27,Daily hospital occupancy,42272.0,United States
2020-10-28,Daily hospital occupancy,43434.0,United States
2020-10-29,Daily hospital occupancy,44163.0,United States
2020-10-30,Daily hospital occupancy,45110.0,United States
2020-10-31,Daily hospital occupancy,45087.0,United States
2020-11-01,Daily hospital occupancy,46094.0,United States
2020-11-02,Daily hospital occupancy,47976.0,United States
2020-11-03,Daily hospital occupancy,49112.0,United States
2020-11-04,Daily hospital occupancy,50468.0,United States
2020-11-05,Daily hospital occupancy,51790.0,United States
2020-11-06,Daily hospital occupancy,52843.0,United States
2020-11-07,Daily hospital occupancy,53822.0,United States
2020-11-08,Daily hospital occupancy,55716.0,United States
2020-11-09,Daily hospital occupancy,58475.0,United States
2020-11-10,Daily hospital occupancy,61421.0,United States
2020-11-11,Daily hospital occupancy,63328.0,United States
2020-11-12,Daily hospital occupancy,65219.0,United States
2020-11-13,Daily hospital occupancy,66129.0,United States
2020-11-14,Daily hospital occupancy,67220.0,United States
2020-11-15,Daily hospital occupancy,69518.0,United States
2020-11-16,Daily hospital occupancy,73100.0,United States
2020-11-17,Daily hospital occupancy,75499.0,United States
2020-11-18,Daily hospital occupancy,77320.0,United States
2020-11-19,Daily hospital occupancy,78344.0,United States
2020-11-20,Daily hospital occupancy,79739.0,United States
2020-11-21,Daily hospital occupancy,79864.0,United States
2020-11-22,Daily hospital occupancy,81798.0,United States
2020-11-23,Daily hospital occupancy,84179.0,United States
2020-11-24,Daily hospital occupancy,86042.0,United States
2020-11-25,Daily hospital occupancy,87127.0,United States
2020-11-26,Daily hospital occupancy,86555.0,United States
2020-11-27,Daily hospital occupancy,88105.0,United States
2020-11-28,Daily hospital occupancy,89606.0,United States
2020-11-29,Daily hospital occupancy,92453.0,United States
