entity,indicator,date,value
Latvia,Daily ICU occupancy,2021-01-10,63.0
Latvia,Daily ICU occupancy,2021-01-17,64.0
Latvia,Daily ICU occupancy,2021-01-24,102.0
Latvia,Daily ICU occupancy,2021-01-31,110.0
Latvia,Daily ICU occupancy,2021-02-07,105.0
Latvia,Daily ICU occupancy,2021-02-14,92.0
Latvia,Daily ICU occupancy,2021-02-21,94.0
Latvia,Daily ICU occupancy,2021-02-28,90.0
Latvia,Daily ICU occupancy,2021-03-07,79.0
Latvia,Daily ICU occupancy,2021-03-14,90.0
Latvia,Daily ICU occupancy,2021-03-21,81.0
Latvia,Daily ICU occupancy,2021-03-28,80.0
Latvia,Daily ICU occupancy,2021-04-04,92.0
Latvia,Daily ICU occupancy,2021-04-11,79.0
Latvia,Daily ICU occupancy,2021-04-18,96.0
Latvia,Daily ICU occupancy,2021-04-25,88.0
Latvia,Daily ICU occupancy,2021-05-02,89.0
Latvia,Daily ICU occupancy,2021-05-09,92.0
Latvia,Daily ICU occupancy,2021-05-16,92.0
Latvia,Daily ICU occupancy,2021-05-23,95.0
Latvia,Daily ICU occupancy,2021-05-30,85.0
Latvia,Daily ICU occupancy,2021-06-06,68.0
Latvia,Daily ICU occupancy,2021-06-13,74.0
Latvia,Daily ICU occupancy,2021-06-20,42.0
Latvia,Daily ICU occupancy,2021-06-27,39.0
Latvia,Daily ICU occupancy,2021-07-04,36.0
Latvia,Daily ICU occupancy,2021-07-11,18.0
Latvia,Daily ICU occupancy,2021-07-18,10.0
Latvia,Daily ICU occupancy,2021-07-25,10.0
Latvia,Daily ICU occupancy,2021-08-01,6.0
Latvia,Daily ICU occupancy,2021-08-08,9.0
Latvia,Daily ICU occupancy,2021-08-15,14.0
Latvia,Daily ICU occupancy,2021-08-22,13.0
Latvia,Daily ICU occupancy,2021-08-29,12.0
Latvia,Daily ICU occupancy,2021-09-05,20.0
Latvia,Daily ICU occupancy,2021-09-12,30.0
Latvia,Daily ICU occupancy,2021-09-19,28.0
Latvia,Daily ICU occupancy,2021-09-26,53.0
Latvia,Daily ICU occupancy,2021-10-03,71.0
Latvia,Daily ICU occupancy,2021-10-10,89.0
Latvia,Daily ICU occupancy,2021-10-17,131.0
Latvia,Daily ICU occupancy,2021-10-24,169.0
Latvia,Daily ICU occupancy,2021-10-31,200.0
Latvia,Daily ICU occupancy,2021-11-07,238.0
Latvia,Daily ICU occupancy,2021-11-14,232.0
Latvia,Daily ICU occupancy,2021-11-21,214.0
Latvia,Daily ICU occupancy,2021-11-28,179.0
Latvia,Daily ICU occupancy,2021-12-05,147.0
Latvia,Daily ICU occupancy,2021-12-12,107.0
Latvia,Daily ICU occupancy,2021-12-19,97.0
Latvia,Daily ICU occupancy,2021-12-26,80.0
Latvia,Daily ICU occupancy,2022-01-02,80.0
Latvia,Daily ICU occupancy,2022-01-09,78.0
Latvia,Daily ICU occupancy,2022-01-16,93.0
Latvia,Daily ICU occupancy,2022-01-23,90.0
Latvia,Daily ICU occupancy,2022-01-30,90.0
Latvia,Daily ICU occupancy,2022-02-06,92.0
Latvia,Daily ICU occupancy,2022-02-13,89.0
Latvia,Daily ICU occupancy,2022-02-20,90.0
Latvia,Daily ICU occupancy,2022-02-27,115.0
Latvia,Daily ICU occupancy,2022-03-06,97.0
Latvia,Daily ICU occupancy,2022-03-13,80.0
Latvia,Daily ICU occupancy,2022-03-20,65.0
Latvia,Daily ICU occupancy,2022-03-27,56.0
Latvia,Daily ICU occupancy,2022-04-03,42.0
Latvia,Daily ICU occupancy,2022-04-10,44.0
Latvia,Daily ICU occupancy,2022-04-17,26.0
Latvia,Daily ICU occupancy,2022-04-24,24.0
Latvia,Daily ICU occupancy,2022-05-01,30.0
Latvia,Daily ICU occupancy,2022-05-08,11.0
Latvia,Daily ICU occupancy,2022-05-15,5.0
Latvia,Daily ICU occupancy,2022-05-22,3.0
Latvia,Daily ICU occupancy,2022-05-29,5.0
Latvia,Daily ICU occupancy,2022-06-05,4.0
Latvia,Daily ICU occupancy,2022-06-12,3.0
Latvia,Daily ICU occupancy,2022-06-19,2.0
Latvia,Daily ICU occupancy,2022-06-26,1.0
Latvia,Daily ICU occupancy,2022-07-03,5.0
Latvia,Daily ICU occupancy,2022-07-10,3.0
Latvia,Daily ICU occupancy,2022-07-17,4.0
Latvia,Daily ICU occupancy,2022-07-24,4.0
Latvia,Daily ICU occupancy,2022-07-31,7.0
Latvia,Daily ICU occupancy,2022-08-07,4.0
Latvia,Daily ICU occupancy,2022-08-14,4.0
Latvia,Daily ICU occupancy,2022-08-21,5.0
Latvia,Daily ICU occupancy,2022-08-28,7.0
Latvia,Daily ICU occupancy,2022-09-04,6.0
Latvia,Daily ICU occupancy,2022-09-11,4.0
Latvia,Daily ICU occupancy,2022-09-18,1.0
Latvia,Daily ICU occupancy,2022-09-25,3.0
Latvia,Daily ICU occupancy,2022-10-02,4.0
Latvia,Daily ICU occupancy,2022-10-09,5.0
Latvia,Daily ICU occupancy,2022-10-16,5.0
Latvia,Daily ICU occupancy,2022-10-23,5.0
Latvia,Daily ICU occupancy,2022-10-30,5.0
Latvia,Daily ICU occupancy,2022-11-06,6.0
Latvia,Daily ICU occupancy,2022-11-13,6.0
Latvia,Daily ICU occupancy,2022-11-20,7.0
Latvia,Daily ICU occupancy,2022-11-27,6.0
Latvia,Daily ICU occupancy,2022-12-04,8.0
Latvia,Daily ICU occupancy,2022-12-11,4.0
Latvia,Daily ICU occupancy,2022-12-18,7.0
Latvia,Daily ICU occupancy,2022-12-25,11.0
Latvia,Daily ICU occupancy,2023-01-01,9.0
Latvia,Daily ICU occupancy,2023-01-08,6.0
Latvia,Daily ICU occupancy,2023-01-15,7.0
