entity,indicator,date,value
Ireland,Daily hospital occupancy,2020-03-15,32.0
Ireland,Daily hospital occupancy,2020-03-22,80.0
Ireland,Daily hospital occupancy,2020-03-29,290.0
Ireland,Daily hospital occupancy,2020-04-05,656.0
Ireland,Daily hospital occupancy,2020-04-12,837.0
Ireland,Daily hospital occupancy,2020-04-19,881.0
Ireland,Daily hospital occupancy,2020-04-26,778.0
Ireland,Daily hospital occupancy,2020-05-03,760.0
Ireland,Daily hospital occupancy,2020-05-10,657.0
Ireland,Daily hospital occupancy,2020-05-17,486.0
Ireland,Daily hospital occupancy,2020-05-24,367.0
Ireland,Daily hospital occupancy,2020-05-31,263.0
Ireland,Daily hospital occupancy,2020-06-07,166.0
Ireland,Daily hospital occupancy,2020-06-14,102.0
Ireland,Daily hospital occupancy,2020-06-21,60.0
Ireland,Daily hospital occupancy,2020-06-28,37.0
Ireland,Daily hospital occupancy,2020-07-05,21.0
Ireland,Daily hospital occupancy,2020-07-12,12.0
Ireland,Daily hospital occupancy,2020-07-19,12.0
Ireland,Daily hospital occupancy,2020-07-26,14.0
Ireland,Daily hospital occupancy,2020-08-02,10.0
Ireland,Daily hospital occupancy,2020-08-09,17.0
Ireland,Daily hospital occupancy,2020-08-16,13.0
Ireland,Daily hospital occupancy,2020-08-23,17.0
Ireland,Daily hospital occupancy,2020-08-30,26.0
Ireland,Daily hospital occupancy,2020-09-06,40.0
Ireland,Daily hospital occupancy,2020-09-13,50.0
Ireland,Daily hospital occupancy,2020-09-20,65.0
Ireland,Daily hospital occupancy,2020-09-27,90.0
Ireland,Daily hospital occupancy,2020-10-04,122.0
Ireland,Daily hospital occupancy,2020-10-11,156.0
Ireland,Daily hospital occupancy,2020-10-18,234.0
Ireland,Daily hospital occupancy,2020-10-25,324.0
Ireland,Daily hospital occupancy,2020-11-01,327.0
Ireland,Daily hospital occupancy,2020-11-08,315.0
Ireland,Daily hospital occupancy,2020-11-15,282.0
Ireland,Daily hospital occupancy,2020-11-22,274.0
Ireland,Daily hospital occupancy,2020-11-29,269.0
Ireland,Daily hospital occupancy,2020-12-06,228.0
Ireland,Daily hospital occupancy,2020-12-13,215.0
Ireland,Daily hospital occupancy,2020-12-20,198.0
Ireland,Daily hospital occupancy,2020-12-27,239.0
Ireland,Daily hospital occupancy,2021-01-03,454.0
Ireland,Daily hospital occupancy,2021-01-10,921.0
Ireland,Daily hospital occupancy,2021-01-17,1750.0
Ireland,Daily hospital occupancy,2021-01-24,1941.0
Ireland,Daily hospital occupancy,2021-01-31,1727.0
Ireland,Daily hospital occupancy,2021-02-07,1366.0
Ireland,Daily hospital occupancy,2021-02-14,1032.0
Ireland,Daily hospital occupancy,2021-02-21,831.0
Ireland,Daily hospital occupancy,2021-02-28,652.0
Ireland,Daily hospital occupancy,2021-03-07,489.0
Ireland,Daily hospital occupancy,2021-03-14,370.0
Ireland,Daily hospital occupancy,2021-03-21,350.0
Ireland,Daily hospital occupancy,2021-03-28,329.0
Ireland,Daily hospital occupancy,2021-04-04,297.0
Ireland,Daily hospital occupancy,2021-04-11,232.0
Ireland,Daily hospital occupancy,2021-04-18,192.0
Ireland,Daily hospital occupancy,2021-04-25,176.0
Ireland,Daily hospital occupancy,2021-05-02,153.0
Ireland,Daily hospital occupancy,2021-05-09,137.0
Ireland,Daily hospital occupancy,2021-05-16,109.0
Ireland,Daily hospital occupancy,2021-05-23,101.0
Ireland,Daily hospital occupancy,2021-05-30,99.0
Ireland,Daily hospital occupancy,2021-06-06,93.0
Ireland,Daily hospital occupancy,2021-06-13,76.0
Ireland,Daily hospital occupancy,2021-06-20,57.0
Ireland,Daily hospital occupancy,2021-06-27,41.0
Ireland,Daily hospital occupancy,2021-07-04,44.0
Ireland,Daily hospital occupancy,2021-07-11,60.0
Ireland,Daily hospital occupancy,2021-07-18,73.0
Ireland,Daily hospital occupancy,2021-07-25,96.0
Ireland,Daily hospital occupancy,2021-08-01,152.0
Ireland,Daily hospital occupancy,2021-08-08,187.0
Ireland,Daily hospital occupancy,2021-08-15,206.0
Ireland,Daily hospital occupancy,2021-08-22,249.0
Ireland,Daily hospital occupancy,2021-08-29,323.0
Ireland,Daily hospital occupancy,2021-09-05,360.0
Ireland,Daily hospital occupancy,2021-09-12,335.0
Ireland,Daily hospital occupancy,2021-09-19,292.0
Ireland,Daily hospital occupancy,2021-09-26,272.0
Ireland,Daily hospital occupancy,2021-10-03,300.0
Ireland,Daily hospital occupancy,2021-10-10,343.0
Ireland,Daily hospital occupancy,2021-10-17,408.0
Ireland,Daily hospital occupancy,2021-10-24,464.0
Ireland,Daily hospital occupancy,2021-10-31,503.0
Ireland,Daily hospital occupancy,2021-11-07,460.0
Ireland,Daily hospital occupancy,2021-11-14,551.0
Ireland,Daily hospital occupancy,2021-11-21,634.0
Ireland,Daily hospital occupancy,2021-11-28,611.0
Ireland,Daily hospital occupancy,2021-12-05,578.0
Ireland,Daily hospital occupancy,2021-12-12,543.0
Ireland,Daily hospital occupancy,2021-12-19,470.0
Ireland,Daily hospital occupancy,2021-12-26,429.0
Ireland,Daily hospital occupancy,2022-01-02,568.0
Ireland,Daily hospital occupancy,2022-01-09,928.0
Ireland,Daily hospital occupancy,2022-01-16,1055.0
Ireland,Daily hospital occupancy,2022-01-23,911.0
Ireland,Daily hospital occupancy,2022-01-30,739.0
Ireland,Daily hospital occupancy,2022-02-06,630.0
Ireland,Daily hospital occupancy,2022-02-13,627.0
Ireland,Daily hospital occupancy,2022-02-20,631.0
Ireland,Daily hospital occupancy,2022-02-27,593.0
Ireland,Daily hospital occupancy,2022-03-06,653.0
Ireland,Daily hospital occupancy,2022-03-13,829.0
Ireland,Daily hospital occupancy,2022-03-20,1081.0
Ireland,Daily hospital occupancy,2022-03-27,1395.0
Ireland,Daily hospital occupancy,2022-04-03,1610.0
Ireland,Daily hospital occupancy,2022-04-10,1333.0
Ireland,Daily hospital occupancy,2022-04-17,933.0
Ireland,Daily hospital occupancy,2022-04-24,706.0
Ireland,Daily hospital occupancy,2022-05-01,435.0
Ireland,Daily hospital occupancy,2022-05-08,347.0
Ireland,Daily hospital occupancy,2022-05-15,254.0
Ireland,Daily hospital occupancy,2022-05-22,256.0
Ireland,Daily hospital occupancy,2022-05-29,191.0
Ireland,Daily hospital occupancy,2022-06-05,191.0
Ireland,Daily hospital occupancy,2022-06-12,289.0
Ireland,Daily hospital occupancy,2022-06-19,477.0
Ireland,Daily hospital occupancy,2022-06-26,629.0
Ireland,Daily hospital occupancy,2022-07-03,776.0
Ireland,Daily hospital occupancy,2022-07-10,906.0
Ireland,Daily hospital occupancy,2022-07-17,1018.0
Ireland,Daily hospital occupancy,2022-07-24,782.0
Ireland,Daily hospital occupancy,2022-07-31,551.0
Ireland,Daily hospital occupancy,2022-08-07,417.0
Ireland,Daily hospital occupancy,2022-08-14,349.0
Ireland,Daily hospital occupancy,2022-08-21,307.0
Ireland,Daily hospital occupancy,2022-08-28,285.0
Ireland,Daily hospital occupancy,2022-09-04,260.0
Ireland,Daily hospital occupancy,2022-09-11,243.0
Ireland,Daily hospital occupancy,2022-09-18,228.0
Ireland,Daily hospital occupancy,2022-09-25,283.0
Ireland,Daily hospital occupancy,2022-10-02,323.0
