date,indicator,value,entity
2020-03-07,Weekly new hospital admissions,0.0,Czechia
2020-03-08,Weekly new hospital admissions,0.0,Czechia
2020-03-09,Weekly new hospital admissions,0.0,Czechia
2020-03-10,Weekly new hospital admissions,0.0,Czechia
2020-03-11,Weekly new hospital admissions,2.0,Czechia
2020-03-12,Weekly new hospital admissions,3.0,Czechia
2020-03-13,Weekly new hospital admissions,6.0,Czechia
2020-03-14,Weekly new hospital admissions,7.0,Czechia
2020-03-15,Weekly new hospital admissions,9.0,Czechia
2020-03-16,Weekly new hospital admissions,24.0,Czechia
2020-03-17,Weekly new hospital admissions,62.0,Czechia
2020-03-18,Weekly new hospital admissions,65.0,Czechia
2020-03-19,Weekly new hospital admissions,73.0,Czechia
2020-03-20,Weekly new hospital admissions,89.0,Czechia
2020-03-21,Weekly new hospital admissions,108.0,Czechia
2020-03-22,Weekly new hospital admissions,130.0,Czechia
2020-03-23,Weekly new hospital admissions,143.0,Czechia
2020-03-24,Weekly new hospital admissions,134.0,Czechia
2020-03-25,Weekly new hospital admissions,183.0,Czechia
2020-03-26,Weekly new hospital admissions,226.0,Czechia
2020-03-27,Weekly new hospital admissions,249.0,Czechia
2020-03-28,Weekly new hospital admissions,279.0,Czechia
2020-03-29,Weekly new hospital admissions,284.0,Czechia
2020-03-30,Weekly new hospital admissions,283.0,Czechia
2020-03-31,Weekly new hospital admissions,301.0,Czechia
2020-04-01,Weekly new hospital admissions,295.0,Czechia
2020-04-02,Weekly new hospital admissions,284.0,Czechia
2020-04-03,Weekly new hospital admissions,290.0,Czechia
2020-04-04,Weekly new hospital admissions,271.0,Czechia
2020-04-05,Weekly new hospital admissions,271.0,Czechia
2020-04-06,Weekly new hospital admissions,291.0,Czechia
2020-04-07,Weekly new hospital admissions,295.0,Czechia
2020-04-08,Weekly new hospital admissions,285.0,Czechia
2020-04-09,Weekly new hospital admissions,284.0,Czechia
2020-04-10,Weekly new hospital admissions,267.0,Czechia
2020-04-11,Weekly new hospital admissions,264.0,Czechia
2020-04-12,Weekly new hospital admissions,253.0,Czechia
2020-04-13,Weekly new hospital admissions,221.0,Czechia
2020-04-14,Weekly new hospital admissions,181.0,Czechia
2020-04-15,Weekly new hospital admissions,168.0,Czechia
2020-04-16,Weekly new hospital admissions,151.0,Czechia
2020-04-17,Weekly new hospital admissions,152.0,Czechia
2020-04-18,Weekly new hospital admissions,145.0,Czechia
2020-04-19,Weekly new hospital admissions,152.0,Czechia
2020-04-20,Weekly new hospital admissions,168.0,Czechia
2020-04-21,Weekly new hospital admissions,205.0,Czechia
2020-04-22,Weekly new hospital admissions,197.0,Czechia
2020-04-23,Weekly new hospital admissions,202.0,Czechia
2020-04-24,Weekly new hospital admissions,194.0,Czechia
2020-04-25,Weekly new hospital admissions,186.0,Czechia
