location,date,vaccine,total_vaccinations
Switzerland,2020-12-21,Johnson&Johnson,1
Switzerland,2021-03-08,Johnson&Johnson,2
Switzerland,2021-04-08,Johnson&Johnson,3
Switzerland,2021-04-22,Johnson&Johnson,4
Switzerland,2021-05-06,Johnson&Johnson,5
Switzerland,2021-05-21,Johnson&Johnson,6
Switzerland,2021-05-22,Johnson&Johnson,7
Switzerland,2021-05-28,Johnson&Johnson,8
Switzerland,2021-05-29,Johnson&Johnson,9
Switzerland,2021-06-03,Johnson&Johnson,10
Switzerland,2021-06-10,Johnson&Johnson,11
Switzerland,2021-06-13,Johnson&Johnson,12
Switzerland,2021-07-14,Johnson&Johnson,14
Switzerland,2021-08-05,Johnson&Johnson,15
Switzerland,2021-08-08,Johnson&Johnson,16
Switzerland,2021-09-05,Johnson&Johnson,17
Switzerland,2021-09-14,Johnson&Johnson,18
Switzerland,2021-10-05,Johnson&Johnson,19
Switzerland,2021-10-06,Johnson&Johnson,205
Switzerland,2021-10-07,Johnson&Johnson,881
Switzerland,2021-10-08,Johnson&Johnson,1972
Switzerland,2021-10-09,Johnson&Johnson,2329
Switzerland,2021-10-10,Johnson&Johnson,2388
Switzerland,2021-10-11,Johnson&Johnson,3572
Switzerland,2021-10-12,Johnson&Johnson,4837
Switzerland,2021-10-13,Johnson&Johnson,6203
Switzerland,2021-10-14,Johnson&Johnson,7610
Switzerland,2021-10-15,Johnson&Johnson,8964
Switzerland,2021-10-16,Johnson&Johnson,9744
Switzerland,2021-10-17,Johnson&Johnson,9825
Switzerland,2021-10-18,Johnson&Johnson,10875
Switzerland,2021-10-19,Johnson&Johnson,12064
Switzerland,2021-10-20,Johnson&Johnson,13538
Switzerland,2021-10-21,Johnson&Johnson,14745
Switzerland,2021-10-22,Johnson&Johnson,16045
Switzerland,2021-10-23,Johnson&Johnson,16538
Switzerland,2021-10-24,Johnson&Johnson,16562
Switzerland,2021-10-25,Johnson&Johnson,17307
Switzerland,2021-10-26,Johnson&Johnson,18159
Switzerland,2021-10-27,Johnson&Johnson,19093
Switzerland,2021-10-28,Johnson&Johnson,20019
Switzerland,2021-10-29,Johnson&Johnson,20899
Switzerland,2021-10-30,Johnson&Johnson,21179
Switzerland,2021-10-31,Johnson&Johnson,21215
Switzerland,2021-11-01,Johnson&Johnson,21838
Switzerland,2021-11-02,Johnson&Johnson,22492
Switzerland,2021-11-03,Johnson&Johnson,23219
Switzerland,2021-11-04,Johnson&Johnson,23914
Switzerland,2021-11-05,Johnson&Johnson,24735
Switzerland,2021-11-06,Johnson&Johnson,24940
Switzerland,2021-11-07,Johnson&Johnson,24955
Switzerland,2021-11-08,Johnson&Johnson,25789
