location,date,vaccine,total_vaccinations
Portugal,2021-01-08,Covaxin,1
Portugal,2021-01-22,Covaxin,2
Portugal,2021-01-29,Covaxin,3
Portugal,2021-02-19,Covaxin,5
Portugal,2021-02-26,Covaxin,6
Portugal,2021-03-05,Covaxin,7
Portugal,2021-03-19,Covaxin,8
Portugal,2021-03-26,Covaxin,10
Portugal,2021-04-02,Covaxin,12
Portugal,2021-04-09,Covaxin,13
Portugal,2021-04-16,Covaxin,15
Portugal,2021-04-23,Covaxin,17
Portugal,2021-04-30,Covaxin,18
Portugal,2021-05-07,Covaxin,20
Portugal,2021-05-14,Covaxin,23
Portugal,2021-05-21,Covaxin,27
Portugal,2021-05-28,Covaxin,34
Portugal,2021-06-04,Covaxin,36
Portugal,2021-06-11,Covaxin,42
Portugal,2021-06-18,Covaxin,45
Portugal,2021-06-25,Covaxin,54
Portugal,2021-07-02,Covaxin,58
Portugal,2021-07-09,Covaxin,60
Portugal,2021-07-16,Covaxin,65
Portugal,2021-07-23,Covaxin,66
Portugal,2021-07-30,Covaxin,67
Portugal,2021-08-06,Covaxin,70
Portugal,2021-08-13,Covaxin,78
Portugal,2021-08-20,Covaxin,82
Portugal,2021-09-03,Covaxin,84
Portugal,2021-09-17,Covaxin,86
Portugal,2021-11-26,Covaxin,88
Portugal,2021-12-03,Covaxin,90
Portugal,2021-12-17,Covaxin,92
Portugal,2021-12-31,Covaxin,93
Portugal,2022-02-04,Covaxin,94
Portugal,2022-02-11,Covaxin,95
Portugal,2022-07-15,Covaxin,96
Portugal,2021-01-08,Johnson&Johnson,24
Portugal,2021-01-15,Johnson&Johnson,27
Portugal,2021-01-22,Johnson&Johnson,30
Portugal,2021-01-29,Johnson&Johnson,34
Portugal,2021-02-05,Johnson&Johnson,63
Portugal,2021-02-12,Johnson&Johnson,70
Portugal,2021-02-19,Johnson&Johnson,76
Portugal,2021-02-26,Johnson&Johnson,83
Portugal,2021-03-05,Johnson&Johnson,151
Portugal,2021-03-12,Johnson&Johnson,251
Portugal,2021-03-19,Johnson&Johnson,337
Portugal,2021-03-26,Johnson&Johnson,401
Portugal,2021-04-02,Johnson&Johnson,518
Portugal,2021-04-09,Johnson&Johnson,742
Portugal,2021-04-16,Johnson&Johnson,820
Portugal,2021-04-23,Johnson&Johnson,842
Portugal,2021-04-30,Johnson&Johnson,2319
Portugal,2021-05-07,Johnson&Johnson,14971
Portugal,2021-05-14,Johnson&Johnson,33010
Portugal,2021-05-21,Johnson&Johnson,57258
Portugal,2021-05-28,Johnson&Johnson,107112
Portugal,2021-06-04,Johnson&Johnson,164232
Portugal,2021-06-11,Johnson&Johnson,192870
Portugal,2021-06-18,Johnson&Johnson,229016
