location,date,vaccine,total_vaccinations
Norway,2021-03-05,Johnson&Johnson,34
Norway,2021-03-12,Johnson&Johnson,86
Norway,2021-03-19,Johnson&Johnson,153
Norway,2021-03-26,Johnson&Johnson,201
Norway,2021-04-02,Johnson&Johnson,294
Norway,2021-04-09,Johnson&Johnson,539
Norway,2021-04-16,Johnson&Johnson,564
Norway,2021-04-23,Johnson&Johnson,575
Norway,2021-04-30,Johnson&Johnson,651
Norway,2021-05-07,Johnson&Johnson,747
Norway,2021-05-14,Johnson&Johnson,913
Norway,2021-05-21,Johnson&Johnson,1114
Norway,2021-05-28,Johnson&Johnson,1297
Norway,2021-06-04,Johnson&Johnson,1589
Norway,2021-06-11,Johnson&Johnson,1853
Norway,2021-06-18,Johnson&Johnson,2333
Norway,2021-06-25,Johnson&Johnson,3128
Norway,2021-07-02,Johnson&Johnson,3878
Norway,2021-07-09,Johnson&Johnson,4465
Norway,2021-07-16,Johnson&Johnson,4966
Norway,2021-07-23,Johnson&Johnson,5377
Norway,2021-07-30,Johnson&Johnson,5644
Norway,2021-08-06,Johnson&Johnson,5894
Norway,2021-08-13,Johnson&Johnson,6086
Norway,2021-08-20,Johnson&Johnson,6245
Norway,2021-08-27,Johnson&Johnson,6374
Norway,2021-09-03,Johnson&Johnson,6450
Norway,2021-09-10,Johnson&Johnson,6518
Norway,2021-09-17,Johnson&Johnson,6580
Norway,2021-09-24,Johnson&Johnson,6658
Norway,2021-10-01,Johnson&Johnson,6683
Norway,2021-10-08,Johnson&Johnson,6746
Norway,2021-10-15,Johnson&Johnson,6774
Norway,2021-10-22,Johnson&Johnson,6831
Norway,2021-10-29,Johnson&Johnson,6869
Norway,2021-11-05,Johnson&Johnson,6918
Norway,2021-11-12,Johnson&Johnson,6954
Norway,2021-11-19,Johnson&Johnson,7002
Norway,2021-11-26,Johnson&Johnson,7037
Norway,2021-12-03,Johnson&Johnson,7081
Norway,2021-12-10,Johnson&Johnson,7105
Norway,2021-12-17,Johnson&Johnson,7143
Norway,2021-12-24,Johnson&Johnson,7172
Norway,2021-12-31,Johnson&Johnson,7198
Norway,2022-01-07,Johnson&Johnson,7229
Norway,2022-01-14,Johnson&Johnson,7250
Norway,2022-01-21,Johnson&Johnson,7265
Norway,2022-01-28,Johnson&Johnson,7286
Norway,2022-02-04,Johnson&Johnson,7298
Norway,2022-02-11,Johnson&Johnson,7308
Norway,2022-02-18,Johnson&Johnson,7323
Norway,2022-02-25,Johnson&Johnson,7329
Norway,2022-03-04,Johnson&Johnson,7334
Norway,2022-03-11,Johnson&Johnson,7338
Norway,2022-03-18,Johnson&Johnson,7345
Norway,2022-03-25,Johnson&Johnson,7346
Norway,2022-04-01,Johnson&Johnson,7352
Norway,2022-04-08,Johnson&Johnson,7359
Norway,2022-04-15,Johnson&Johnson,7362
Norway,2022-04-22,Johnson&Johnson,7365
Norway,2022-04-29,Johnson&Johnson,7369
Norway,2022-05-06,Johnson&Johnson,7371
Norway,2022-05-13,Johnson&Johnson,7374
Norway,2022-05-27,Johnson&Johnson,7375
Norway,2022-06-03,Johnson&Johnson,7376
Norway,2022-06-10,Johnson&Johnson,7378
Norway,2022-06-17,Johnson&Johnson,7379
Norway,2022-06-24,Johnson&Johnson,7380
Norway,2022-07-01,Johnson&Johnson,7381
Norway,2022-07-15,Johnson&Johnson,7383
Norway,2022-07-22,Johnson&Johnson,7384
Norway,2022-07-29,Johnson&Johnson,7385
Norway,2022-08-05,Johnson&Johnson,7387
Norway,2022-08-19,Johnson&Johnson,7388
Norway,2022-09-09,Johnson&Johnson,7389
Norway,2022-09-16,Johnson&Johnson,7394
Norway,2022-09-23,Johnson&Johnson,7403
Norway,2022-09-30,Johnson&Johnson,7405
Norway,2022-10-07,Johnson&Johnson,7406
Norway,2022-10-21,Johnson&Johnson,7407
Norway,2022-11-04,Johnson&Johnson,7408
Norway,2022-11-25,Johnson&Johnson,7409
Norway,2022-12-02,Johnson&Johnson,7410
Norway,2022-12-09,Johnson&Johnson,7411
Norway,2022-12-16,Johnson&Johnson,7412
Norway,2023-01-20,Johnson&Johnson,7414
Norway,2023-02-03,Johnson&Johnson,7415
Norway,2023-03-17,Johnson&Johnson,7416
Norway,2023-05-05,Johnson&Johnson,7417
Norway,2021-01-08,Moderna,49
Norway,2021-01-15,Moderna,165
Norway,2021-01-22,Moderna,1948
Norway,2021-01-29,Moderna,2374
Norway,2021-02-05,Moderna,2558
Norway,2021-02-12,Moderna,12743
Norway,2021-02-19,Moderna,15096
Norway,2021-02-26,Moderna,15590
Norway,2021-03-05,Moderna,21773
Norway,2021-03-12,Moderna,36001
Norway,2021-03-19,Moderna,42049
Norway,2021-03-26,Moderna,60079
Norway,2021-04-02,Moderna,80429
Norway,2021-04-09,Moderna,99253
Norway,2021-04-16,Moderna,139885
Norway,2021-04-23,Moderna,156454
Norway,2021-04-30,Moderna,167056
Norway,2021-05-07,Moderna,182636
Norway,2021-05-14,Moderna,215144
Norway,2021-05-21,Moderna,236843
Norway,2021-05-28,Moderna,280266
Norway,2021-06-04,Moderna,328971
Norway,2021-06-11,Moderna,378330
Norway,2021-06-18,Moderna,413605
Norway,2021-06-25,Moderna,454875
Norway,2021-07-02,Moderna,494743
Norway,2021-07-09,Moderna,531025
Norway,2021-07-16,Moderna,551563
Norway,2021-07-23,Moderna,591151
Norway,2021-07-30,Moderna,630800
Norway,2021-08-06,Moderna,694880
Norway,2021-08-13,Moderna,784985
Norway,2021-08-20,Moderna,859161
Norway,2021-08-27,Moderna,1050392
Norway,2021-09-03,Moderna,1268385
Norway,2021-09-10,Moderna,1401720
Norway,2021-09-17,Moderna,1467560
Norway,2021-09-24,Moderna,1510086
Norway,2021-10-01,Moderna,1541206
Norway,2021-10-08,Moderna,1554450
Norway,2021-10-15,Moderna,1561234
Norway,2021-10-22,Moderna,1566127
Norway,2021-10-29,Moderna,1570791
Norway,2021-11-05,Moderna,1573992
Norway,2021-11-12,Moderna,1582705
Norway,2021-11-19,Moderna,1599490
Norway,2021-11-26,Moderna,1623910
Norway,2021-12-03,Moderna,1651014
Norway,2021-12-10,Moderna,1681049
Norway,2021-12-17,Moderna,1733654
Norway,2021-12-24,Moderna,1790227
Norway,2021-12-31,Moderna,1835512
Norway,2022-01-07,Moderna,1970293
Norway,2022-01-14,Moderna,2097881
Norway,2022-01-21,Moderna,2173676
Norway,2022-01-28,Moderna,2218894
Norway,2022-02-04,Moderna,2243191
Norway,2022-02-11,Moderna,2256395
Norway,2022-02-18,Moderna,2263641
Norway,2022-02-25,Moderna,2267584
Norway,2022-03-04,Moderna,2269950
Norway,2022-03-11,Moderna,2272021
Norway,2022-03-18,Moderna,2273563
Norway,2022-03-25,Moderna,2275027
Norway,2022-04-01,Moderna,2276321
Norway,2022-04-08,Moderna,2277378
Norway,2022-04-15,Moderna,2277640
Norway,2022-04-22,Moderna,2278528
Norway,2022-04-29,Moderna,2279631
Norway,2022-05-06,Moderna,2280666
Norway,2022-05-13,Moderna,2281980
Norway,2022-05-20,Moderna,2283109
Norway,2022-05-27,Moderna,2284443
Norway,2022-06-03,Moderna,2285677
Norway,2022-06-10,Moderna,2286493
Norway,2022-06-17,Moderna,2287634
Norway,2022-06-24,Moderna,2289041
Norway,2022-07-01,Moderna,2290198
Norway,2022-07-08,Moderna,2295454
Norway,2022-07-15,Moderna,2302137
Norway,2022-07-22,Moderna,2304601
Norway,2022-07-29,Moderna,2306854
Norway,2022-08-05,Moderna,2310452
Norway,2022-08-12,Moderna,2314625
Norway,2022-08-19,Moderna,2321575
Norway,2022-08-26,Moderna,2329608
Norway,2022-09-02,Moderna,2339126
Norway,2022-09-09,Moderna,2346796
Norway,2022-09-16,Moderna,2350252
Norway,2022-09-23,Moderna,2351877
Norway,2022-09-30,Moderna,2354700
Norway,2022-10-07,Moderna,2358092
Norway,2022-10-14,Moderna,2361451
Norway,2022-10-21,Moderna,2364172
Norway,2022-10-28,Moderna,2366273
Norway,2022-11-04,Moderna,2368047
Norway,2022-11-11,Moderna,2369839
Norway,2022-11-18,Moderna,2371339
Norway,2022-11-25,Moderna,2373426
