location,date,vaccine,total_vaccinations
Poland,2021-01-01,Johnson&Johnson,0
Poland,2021-01-08,Johnson&Johnson,1
Poland,2021-01-22,Johnson&Johnson,2
Poland,2021-02-05,Johnson&Johnson,3
Poland,2021-03-05,Johnson&Johnson,4
Poland,2021-03-12,Johnson&Johnson,10
Poland,2021-03-19,Johnson&Johnson,26
Poland,2021-03-26,Johnson&Johnson,27
Poland,2021-04-02,Johnson&Johnson,65
Poland,2021-04-09,Johnson&Johnson,97
Poland,2021-04-16,Johnson&Johnson,23406
Poland,2021-04-23,Johnson&Johnson,76795
Poland,2021-04-30,Johnson&Johnson,125711
Poland,2021-05-07,Johnson&Johnson,170531
Poland,2021-05-14,Johnson&Johnson,275729
Poland,2021-05-21,Johnson&Johnson,408148
Poland,2021-05-28,Johnson&Johnson,596458
Poland,2021-06-04,Johnson&Johnson,704169
Poland,2021-06-11,Johnson&Johnson,785505
Poland,2021-06-18,Johnson&Johnson,854008
Poland,2021-06-25,Johnson&Johnson,919250
Poland,2021-07-02,Johnson&Johnson,994102
Poland,2021-07-09,Johnson&Johnson,1078146
Poland,2021-07-16,Johnson&Johnson,1173738
Poland,2021-07-23,Johnson&Johnson,1273775
Poland,2021-07-30,Johnson&Johnson,1383603
Poland,2021-08-06,Johnson&Johnson,1483489
Poland,2021-08-13,Johnson&Johnson,1582418
Poland,2021-08-20,Johnson&Johnson,1666763
Poland,2021-08-27,Johnson&Johnson,1749937
Poland,2021-09-03,Johnson&Johnson,1814011
Poland,2021-09-10,Johnson&Johnson,1866516
Poland,2021-09-17,Johnson&Johnson,1913890
Poland,2021-09-24,Johnson&Johnson,1963323
Poland,2021-10-01,Johnson&Johnson,2002245
Poland,2021-10-08,Johnson&Johnson,2036382
Poland,2021-10-15,Johnson&Johnson,2069530
Poland,2021-10-22,Johnson&Johnson,2106783
Poland,2021-10-29,Johnson&Johnson,2150498
Poland,2021-11-05,Johnson&Johnson,2190486
Poland,2021-11-12,Johnson&Johnson,2231050
Poland,2021-11-19,Johnson&Johnson,2281008
Poland,2021-11-26,Johnson&Johnson,2346722
Poland,2021-12-03,Johnson&Johnson,2405267
Poland,2021-12-10,Johnson&Johnson,2454064
Poland,2021-12-17,Johnson&Johnson,2489732
Poland,2021-12-24,Johnson&Johnson,2509980
Poland,2021-12-31,Johnson&Johnson,2529058
Poland,2022-01-07,Johnson&Johnson,2556046
Poland,2022-01-14,Johnson&Johnson,2585549
Poland,2022-01-21,Johnson&Johnson,2610805
Poland,2022-01-28,Johnson&Johnson,2630069
Poland,2022-02-04,Johnson&Johnson,2643304
Poland,2022-02-11,Johnson&Johnson,2653434
Poland,2022-02-18,Johnson&Johnson,2661159
Poland,2022-02-25,Johnson&Johnson,2668860
Poland,2022-03-04,Johnson&Johnson,2674105
Poland,2022-03-11,Johnson&Johnson,2678866
Poland,2022-03-18,Johnson&Johnson,2683100
Poland,2022-03-25,Johnson&Johnson,2686758
Poland,2022-04-01,Johnson&Johnson,2689572
Poland,2022-04-08,Johnson&Johnson,2692221
Poland,2022-04-15,Johnson&Johnson,2694417
Poland,2022-04-22,Johnson&Johnson,2696699
Poland,2022-04-29,Johnson&Johnson,2698981
Poland,2022-05-06,Johnson&Johnson,2700649
Poland,2022-05-13,Johnson&Johnson,2702580
Poland,2022-05-20,Johnson&Johnson,2704454
