location,date,vaccine,total_vaccinations
Argentina,2021-02-05,CanSino,2
Argentina,2021-03-21,CanSino,3
Argentina,2021-04-21,CanSino,4
Argentina,2021-04-22,CanSino,5
Argentina,2021-05-07,CanSino,6
Argentina,2021-06-02,CanSino,7
Argentina,2021-06-25,CanSino,8
Argentina,2021-07-02,CanSino,9
Argentina,2021-07-20,CanSino,11
Argentina,2021-08-04,CanSino,13
Argentina,2021-08-06,CanSino,14
Argentina,2021-08-12,CanSino,15
Argentina,2021-09-07,CanSino,62
Argentina,2021-09-08,CanSino,101
Argentina,2021-09-09,CanSino,108
Argentina,2021-09-10,CanSino,111
Argentina,2021-09-11,CanSino,386
Argentina,2021-09-12,CanSino,758
Argentina,2021-09-13,CanSino,14883
Argentina,2021-09-14,CanSino,16081
Argentina,2021-09-15,CanSino,17209
Argentina,2021-09-16,CanSino,18532
Argentina,2021-09-17,CanSino,27109
Argentina,2021-09-18,CanSino,27581
Argentina,2021-09-19,CanSino,27625
Argentina,2021-09-20,CanSino,30114
Argentina,2021-09-21,CanSino,32606
Argentina,2021-09-22,CanSino,35883
Argentina,2021-09-23,CanSino,39751
Argentina,2021-09-24,CanSino,44033
Argentina,2021-09-25,CanSino,46545
Argentina,2021-09-26,CanSino,47162
Argentina,2021-09-27,CanSino,52789
Argentina,2021-09-28,CanSino,58101
Argentina,2021-09-29,CanSino,62017
Argentina,2021-09-30,CanSino,65261
Argentina,2021-10-01,CanSino,69038
Argentina,2021-10-02,CanSino,70195
Argentina,2021-10-03,CanSino,70362
Argentina,2021-10-04,CanSino,73131
Argentina,2021-10-05,CanSino,76773
Argentina,2021-10-06,CanSino,80699
Argentina,2021-10-07,CanSino,83395
Argentina,2021-10-08,CanSino,84305
Argentina,2021-10-09,CanSino,85121
Argentina,2021-10-10,CanSino,85364
Argentina,2021-10-11,CanSino,85594
Argentina,2021-10-12,CanSino,87765
Argentina,2021-10-13,CanSino,89878
Argentina,2021-10-14,CanSino,92160
Argentina,2021-10-15,CanSino,94755
Argentina,2021-10-16,CanSino,95514
Argentina,2021-10-17,CanSino,95599
Argentina,2021-10-18,CanSino,97865
Argentina,2021-10-19,CanSino,100666
Argentina,2021-10-20,CanSino,103255
Argentina,2021-10-21,CanSino,105977
Argentina,2021-10-22,CanSino,108052
Argentina,2021-10-23,CanSino,108578
Argentina,2021-10-24,CanSino,108714
Argentina,2021-10-25,CanSino,110344
Argentina,2021-10-26,CanSino,112108
Argentina,2021-10-27,CanSino,113849
