location,date,vaccine,total_vaccinations
Argentina,2021-02-05,CanSino,2
Argentina,2021-03-21,CanSino,3
Argentina,2021-04-21,CanSino,4
Argentina,2021-04-22,CanSino,5
Argentina,2021-05-07,CanSino,6
Argentina,2021-06-02,CanSino,7
Argentina,2021-06-25,CanSino,8
Argentina,2021-07-02,CanSino,9
Argentina,2021-07-20,CanSino,11
Argentina,2021-08-04,CanSino,13
Argentina,2021-08-06,CanSino,14
Argentina,2021-08-12,CanSino,15
Argentina,2021-09-07,CanSino,62
Argentina,2021-09-08,CanSino,101
Argentina,2021-09-09,CanSino,108
Argentina,2021-09-10,CanSino,111
Argentina,2021-09-11,CanSino,386
Argentina,2021-09-12,CanSino,758
Argentina,2021-09-13,CanSino,14882
Argentina,2021-09-14,CanSino,16080
Argentina,2021-09-15,CanSino,17208
Argentina,2021-09-16,CanSino,18531
Argentina,2021-09-17,CanSino,27108
Argentina,2021-09-18,CanSino,27580
Argentina,2021-09-19,CanSino,27624
Argentina,2021-09-20,CanSino,30113
Argentina,2021-09-21,CanSino,32605
Argentina,2021-09-22,CanSino,35883
Argentina,2021-09-23,CanSino,39751
Argentina,2021-09-24,CanSino,44033
Argentina,2021-09-25,CanSino,46544
Argentina,2021-09-26,CanSino,47161
Argentina,2021-09-27,CanSino,52788
Argentina,2021-09-28,CanSino,58100
Argentina,2021-09-29,CanSino,62016
Argentina,2021-09-30,CanSino,65260
Argentina,2021-10-01,CanSino,69037
Argentina,2021-10-02,CanSino,70194
Argentina,2021-10-03,CanSino,70361
Argentina,2021-10-04,CanSino,73130
Argentina,2021-10-05,CanSino,76772
Argentina,2021-10-06,CanSino,80698
Argentina,2021-10-07,CanSino,83394
Argentina,2021-10-08,CanSino,84304
Argentina,2021-10-09,CanSino,85120
Argentina,2021-10-10,CanSino,85363
Argentina,2021-10-11,CanSino,85593
Argentina,2021-10-12,CanSino,87764
Argentina,2021-10-13,CanSino,89877
Argentina,2021-10-14,CanSino,92159
Argentina,2021-10-15,CanSino,94754
Argentina,2021-10-16,CanSino,95513
Argentina,2021-10-17,CanSino,95598
Argentina,2021-10-18,CanSino,97864
Argentina,2021-10-19,CanSino,100665
Argentina,2021-10-20,CanSino,103254
Argentina,2021-10-21,CanSino,105976
Argentina,2021-10-22,CanSino,108051
Argentina,2021-10-23,CanSino,108577
Argentina,2021-10-24,CanSino,108713
Argentina,2021-10-25,CanSino,110343
Argentina,2021-10-26,CanSino,112107
Argentina,2021-10-27,CanSino,113848
