location,date,vaccine,source_url,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters
Hong Kong,2021-02-22,Sinovac,https://data.gov.hk/en-data/dataset/hk-fhb-fhbcovid19-vaccination-rates-over-time-by-age,47,47,0,0
Hong Kong,2021-02-23,Sinovac,https://data.gov.hk/en-data/dataset/hk-fhb-fhbcovid19-vaccination-rates-over-time-by-age,579,579,0,0
Hong Kong,2021-02-26,Sinovac,https://data.gov.hk/en-data/dataset/hk-fhb-fhbcovid19-vaccination-rates-over-time-by-age,6623,6623,0,0
Hong Kong,2021-02-27,Sinovac,https://data.gov.hk/en-data/dataset/hk-fhb-fhbcovid19-vaccination-rates-over-time-by-age,13663,13662,1,0
Hong Kong,2021-02-28,Sinovac,https://data.gov.hk/en-data/dataset/hk-fhb-fhbcovid19-vaccination-rates-over-time-by-age,20678,20677,1,0
Hong Kong,2021-03-01,Sinovac,https://data.gov.hk/en-data/dataset/hk-fhb-fhbcovid19-vaccination-rates-over-time-by-age,27086,27085,1,0
Hong Kong,2021-03-02,Sinovac,https://data.gov.hk/en-data/dataset/hk-fhb-fhbcovid19-vaccination-rates-over-time-by-age,40157,40156,1,0
Hong Kong,2021-03-03,Sinovac,https://data.gov.hk/en-data/dataset/hk-fhb-fhbcovid19-vaccination-rates-over-time-by-age,51825,51822,3,0
Hong Kong,2021-03-04,Sinovac,https://data.gov.hk/en-data/dataset/hk-fhb-fhbcovid19-vaccination-rates-over-time-by-age,62214,62211,3,0
Hong Kong,2021-03-05,Sinovac,https://data.gov.hk/en-data/dataset/hk-fhb-fhbcovid19-vaccination-rates-over-time-by-age,72352,72349,3,0
Hong Kong,2021-03-06,"Pfizer/BioNTech, Sinovac",https://data.gov.hk/en-data/dataset/hk-fhb-fhbcovid19-vaccination-rates-over-time-by-age,84008,84004,4,0
Hong Kong,2021-03-07,"Pfizer/BioNTech, Sinovac",https://data.gov.hk/en-data/dataset/hk-fhb-fhbcovid19-vaccination-rates-over-time-by-age,93000,92995,5,0
Hong Kong,2021-03-08,"Pfizer/BioNTech, Sinovac",https://data.gov.hk/en-data/dataset/hk-fhb-fhbcovid19-vaccination-rates-over-time-by-age,103825,103820,5,0
Hong Kong,2021-03-09,"Pfizer/BioNTech, Sinovac",https://data.gov.hk/en-data/dataset/hk-fhb-fhbcovid19-vaccination-rates-over-time-by-age,113501,113495,6,0
Hong Kong,2021-03-10,"Pfizer/BioNTech, Sinovac",https://data.gov.hk/en-data/dataset/hk-fhb-fhbcovid19-vaccination-rates-over-time-by-age,130523,130516,7,0
Hong Kong,2021-03-11,"Pfizer/BioNTech, Sinovac",https://data.gov.hk/en-data/dataset/hk-fhb-fhbcovid19-vaccination-rates-over-time-by-age,145883,145876,7,0
Hong Kong,2021-03-12,"Pfizer/BioNTech, Sinovac",https://data.gov.hk/en-data/dataset/hk-fhb-fhbcovid19-vaccination-rates-over-time-by-age,162205,162198,7,0
Hong Kong,2021-03-13,"Pfizer/BioNTech, Sinovac",https://data.gov.hk/en-data/dataset/hk-fhb-fhbcovid19-vaccination-rates-over-time-by-age,177086,177078,8,0
Hong Kong,2021-03-14,"Pfizer/BioNTech, Sinovac",https://data.gov.hk/en-data/dataset/hk-fhb-fhbcovid19-vaccination-rates-over-time-by-age,190706,190698,8,0
Hong Kong,2021-03-15,"Pfizer/BioNTech, Sinovac",https://data.gov.hk/en-data/dataset/hk-fhb-fhbcovid19-vaccination-rates-over-time-by-age,206069,206061,8,0
Hong Kong,2021-03-16,"Pfizer/BioNTech, Sinovac",https://data.gov.hk/en-data/dataset/hk-fhb-fhbcovid19-vaccination-rates-over-time-by-age,229396,229388,8,0
Hong Kong,2021-03-17,"Pfizer/BioNTech, Sinovac",https://data.gov.hk/en-data/dataset/hk-fhb-fhbcovid19-vaccination-rates-over-time-by-age,253996,253987,9,0
Hong Kong,2021-03-18,"Pfizer/BioNTech, Sinovac",https://data.gov.hk/en-data/dataset/hk-fhb-fhbcovid19-vaccination-rates-over-time-by-age,276623,276613,10,0
Hong Kong,2021-03-19,"Pfizer/BioNTech, Sinovac",https://data.gov.hk/en-data/dataset/hk-fhb-fhbcovid19-vaccination-rates-over-time-by-age,304227,304217,10,0
Hong Kong,2021-03-20,"Pfizer/BioNTech, Sinovac",https://data.gov.hk/en-data/dataset/hk-fhb-fhbcovid19-vaccination-rates-over-time-by-age,330595,330585,10,0
Hong Kong,2021-03-21,"Pfizer/BioNTech, Sinovac",https://data.gov.hk/en-data/dataset/hk-fhb-fhbcovid19-vaccination-rates-over-time-by-age,354416,354406,10,0
Hong Kong,2021-03-22,"Pfizer/BioNTech, Sinovac",https://data.gov.hk/en-data/dataset/hk-fhb-fhbcovid19-vaccination-rates-over-time-by-age,379671,379618,53,0
Hong Kong,2021-03-23,"Pfizer/BioNTech, Sinovac",https://data.gov.hk/en-data/dataset/hk-fhb-fhbcovid19-vaccination-rates-over-time-by-age,403504,403056,448,0
Hong Kong,2021-03-24,"Pfizer/BioNTech, Sinovac",https://data.gov.hk/en-data/dataset/hk-fhb-fhbcovid19-vaccination-rates-over-time-by-age,413279,412799,480,0
Hong Kong,2021-03-25,"Pfizer/BioNTech, Sinovac",https://data.gov.hk/en-data/dataset/hk-fhb-fhbcovid19-vaccination-rates-over-time-by-age,421499,420991,508,0
Hong Kong,2021-03-26,"Pfizer/BioNTech, Sinovac",https://data.gov.hk/en-data/dataset/hk-fhb-fhbcovid19-vaccination-rates-over-time-by-age,435216,429510,5706,0
Hong Kong,2021-03-27,"Pfizer/BioNTech, Sinovac",https://data.gov.hk/en-data/dataset/hk-fhb-fhbcovid19-vaccination-rates-over-time-by-age,449256,437242,12014,0
Hong Kong,2021-03-28,"Pfizer/BioNTech, Sinovac",https://data.gov.hk/en-data/dataset/hk-fhb-fhbcovid19-vaccination-rates-over-time-by-age,462430,443877,18553,0
Hong Kong,2021-03-29,"Pfizer/BioNTech, Sinovac",https://data.gov.hk/en-data/dataset/hk-fhb-fhbcovid19-vaccination-rates-over-time-by-age,475101,450495,24606,0
