location,date,age_group_min,age_group_max,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,people_with_booster_per_hundred
Finland,2021-01-01,25,49,0.0,0.0,0.0
Finland,2021-01-01,50,59,0.0,0.0,0.0
Finland,2021-01-01,60,69,0.0,0.0,0.0
Finland,2021-01-01,80,,0.0,0.0,0.0
Finland,2021-01-08,15,17,0.0,0.0,0.0
Finland,2021-01-08,18,24,0.17,0.0,0.0
Finland,2021-01-08,25,49,0.72,0.0,0.0
Finland,2021-01-08,50,59,0.68,0.0,0.0
Finland,2021-01-08,60,69,0.29,0.0,0.0
Finland,2021-01-08,70,79,0.07,0.0,0.0
Finland,2021-01-08,80,,0.36,0.0,0.0
Finland,2021-01-15,15,17,0.02,0.0,0.0
Finland,2021-01-15,18,24,0.49,0.0,0.0
Finland,2021-01-15,25,49,1.67,0.0,0.0
Finland,2021-01-15,50,59,1.84,0.0,0.0
Finland,2021-01-15,60,69,0.91,0.0,0.0
Finland,2021-01-15,70,79,0.49,0.0,0.0
Finland,2021-01-15,80,,2.83,0.0,0.0
Finland,2021-01-22,15,17,0.06,0.0,0.0
Finland,2021-01-22,18,24,0.92,0.03,0.0
Finland,2021-01-22,25,49,2.52,0.18,0.0
Finland,2021-01-22,50,59,3.05,0.17,0.0
Finland,2021-01-22,60,69,1.7,0.06,0.0
Finland,2021-01-22,70,79,1.36,0.0,0.0
Finland,2021-01-22,80,,8.32,0.0,0.0
Finland,2021-01-29,15,17,0.09,0.0,0.0
Finland,2021-01-29,18,24,1.23,0.16,0.0
Finland,2021-01-29,25,49,3.0,0.67,0.0
Finland,2021-01-29,50,59,3.76,0.64,0.0
Finland,2021-01-29,60,69,2.19,0.28,0.0
Finland,2021-01-29,70,79,2.08,0.05,0.0
Finland,2021-01-29,80,,14.27,0.28,0.0
Finland,2021-02-05,15,17,0.1,0.01,0.0
Finland,2021-02-05,18,24,1.36,0.42,0.0
Finland,2021-02-05,25,49,3.22,1.52,0.0
Finland,2021-02-05,50,59,4.07,1.63,0.0
Finland,2021-02-05,60,69,2.42,0.81,0.0
Finland,2021-02-05,70,79,2.41,0.34,0.0
Finland,2021-02-05,80,,18.21,1.93,0.0
Finland,2021-02-12,15,17,0.11,0.03,0.0
Finland,2021-02-12,18,24,1.48,0.56,0.0
Finland,2021-02-12,25,49,3.42,1.86,0.0
Finland,2021-02-12,50,59,4.39,2.1,0.0
Finland,2021-02-12,60,69,2.95,1.09,0.0
Finland,2021-02-12,70,79,3.16,0.56,0.0
Finland,2021-02-12,80,,26.17,3.17,0.0
Finland,2021-02-19,15,17,0.12,0.03,0.0
Finland,2021-02-19,18,24,1.66,0.6,0.0
Finland,2021-02-19,25,49,3.76,1.95,0.0
Finland,2021-02-19,50,59,5.04,2.24,0.0
Finland,2021-02-19,60,69,4.71,1.19,0.0
Finland,2021-02-19,70,79,4.72,0.66,0.0
Finland,2021-02-19,80,,40.54,3.99,0.0
Finland,2021-02-26,15,17,0.14,0.04,0.0
Finland,2021-02-26,18,24,1.8,0.64,0.0
Finland,2021-02-26,25,49,4.06,2.02,0.0
Finland,2021-02-26,50,59,6.08,2.34,0.0
Finland,2021-02-26,60,69,7.71,1.25,0.0
Finland,2021-02-26,70,79,7.15,0.77,0.0
Finland,2021-02-26,80,,55.14,5.71,0.0
Finland,2021-03-05,15,17,0.15,0.04,0.0
Finland,2021-03-05,18,24,1.96,0.65,0.0
Finland,2021-03-05,25,49,4.39,2.04,0.0
Finland,2021-03-05,50,59,7.64,2.36,0.0
Finland,2021-03-05,60,69,11.24,1.27,0.0
Finland,2021-03-05,70,79,11.76,0.81,0.0
Finland,2021-03-05,80,,68.19,6.49,0.0
Finland,2021-03-12,15,17,0.18,0.04,0.0
Finland,2021-03-12,18,24,2.15,0.65,0.0
Finland,2021-03-12,25,49,4.91,2.06,0.0
Finland,2021-03-12,50,59,9.69,2.37,0.0
Finland,2021-03-12,60,69,14.44,1.28,0.0
Finland,2021-03-12,70,79,19.51,0.82,0.0
Finland,2021-03-12,80,,78.03,6.63,0.0
Finland,2021-03-19,15,17,0.22,0.04,0.0
Finland,2021-03-19,18,24,2.34,0.66,0.0
Finland,2021-03-19,25,49,5.39,2.08,0.0
Finland,2021-03-19,50,59,11.29,2.4,0.0
Finland,2021-03-19,60,69,17.11,1.3,0.0
Finland,2021-03-19,70,79,31.42,0.84,0.0
Finland,2021-03-19,80,,83.37,6.74,0.0
Finland,2021-03-26,15,17,0.24,0.04,0.0
Finland,2021-03-26,18,24,2.38,0.67,0.0
Finland,2021-03-26,25,49,5.48,2.1,0.0
Finland,2021-03-26,50,59,11.56,2.43,0.0
Finland,2021-03-26,60,69,18.06,1.32,0.0
Finland,2021-03-26,70,79,46.73,0.85,0.0
Finland,2021-03-26,80,,86.37,6.79,0.0
Finland,2021-04-02,15,17,0.29,0.04,0.0
Finland,2021-04-02,18,24,2.51,0.68,0.0
Finland,2021-04-02,25,49,5.73,2.12,0.0
Finland,2021-04-02,50,59,12.06,2.46,0.0
Finland,2021-04-02,60,69,20.48,1.34,0.0
Finland,2021-04-02,70,79,64.0,0.88,0.0
Finland,2021-04-02,80,,88.01,6.94,0.0
Finland,2021-04-09,15,17,0.36,0.04,0.0
Finland,2021-04-09,18,24,2.9,0.73,0.0
Finland,2021-04-09,25,49,6.6,2.21,0.0
Finland,2021-04-09,50,59,13.87,2.61,0.0
Finland,2021-04-09,60,69,27.14,1.44,0.0
Finland,2021-04-09,70,79,78.89,1.01,0.0
Finland,2021-04-09,80,,89.07,7.64,0.0
Finland,2021-04-16,15,17,0.56,0.06,0.0
Finland,2021-04-16,18,24,3.84,0.97,0.0
Finland,2021-04-16,25,49,8.51,2.64,0.0
Finland,2021-04-16,50,59,17.76,3.26,0.0
