location,date,age_group_min,age_group_max,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,people_with_booster_per_hundred
France,2021-01-01,0,17,0.0,0.0,0.0
France,2021-01-01,18,24,0.0,0.0,0.0
France,2021-01-01,25,49,0.0,0.0,0.0
France,2021-01-01,50,59,0.0,0.0,0.0
France,2021-01-01,60,69,0.0,0.0,0.0
France,2021-01-01,70,79,0.0,0.0,0.0
France,2021-01-01,80,,0.0,0.0,0.0
France,2021-01-08,0,17,0.0,0.0,0.0
France,2021-01-08,18,24,0.03,0.0,0.0
France,2021-01-08,25,49,0.09,0.0,0.0
France,2021-01-08,50,59,0.45,0.0,0.0
France,2021-01-08,60,69,0.29,0.0,0.0
France,2021-01-08,70,79,0.17,0.0,0.0
France,2021-01-08,80,,0.42,0.0,0.0
France,2021-01-15,0,17,0.0,0.0,0.0
France,2021-01-15,18,24,0.08,0.0,0.0
France,2021-01-15,25,49,0.39,0.0,0.0
France,2021-01-15,50,59,1.75,0.0,0.0
France,2021-01-15,60,69,1.05,0.0,0.0
France,2021-01-15,70,79,0.83,0.0,0.0
France,2021-01-15,80,,2.1,0.0,0.0
France,2021-01-22,0,17,0.01,0.0,0.0
France,2021-01-22,18,24,0.15,0.0,0.0
France,2021-01-22,25,49,0.7,0.0,0.0
France,2021-01-22,50,59,2.73,0.0,0.0
France,2021-01-22,60,69,1.76,0.0,0.0
France,2021-01-22,70,79,3.92,0.01,0.0
France,2021-01-22,80,,8.99,0.01,0.0
France,2021-01-29,0,17,0.01,0.0,0.0
France,2021-01-29,18,24,0.2,0.0,0.0
France,2021-01-29,25,49,0.89,0.03,0.0
France,2021-01-29,50,59,3.24,0.22,0.0
France,2021-01-29,60,69,2.25,0.14,0.0
France,2021-01-29,70,79,6.67,0.09,0.0
France,2021-01-29,80,,14.94,0.29,0.0
France,2021-02-05,0,17,0.01,0.0,0.0
France,2021-02-05,18,24,0.24,0.03,0.0
France,2021-02-05,25,49,1.02,0.19,0.0
France,2021-02-05,50,59,3.53,1.04,0.0
France,2021-02-05,60,69,2.57,0.65,0.0
France,2021-02-05,70,79,8.74,0.49,0.0
France,2021-02-05,80,,19.09,1.49,0.0
France,2021-02-12,0,17,0.01,0.0,0.0
France,2021-02-12,18,24,0.35,0.08,0.0
France,2021-02-12,25,49,1.32,0.47,0.0
France,2021-02-12,50,59,3.88,2.01,0.0
France,2021-02-12,60,69,2.94,1.29,0.0
France,2021-02-12,70,79,10.56,1.69,0.0
France,2021-02-12,80,,22.47,5.11,0.0
France,2021-02-19,0,17,0.01,0.0,0.0
France,2021-02-19,18,24,0.51,0.12,0.0
France,2021-02-19,25,49,1.66,0.69,0.0
France,2021-02-19,50,59,4.2,2.72,0.0
France,2021-02-19,60,69,3.27,1.84,0.0
France,2021-02-19,70,79,11.74,4.31,0.0
France,2021-02-19,80,,24.68,10.48,0.0
France,2021-02-26,0,17,0.01,0.0,0.0
France,2021-02-26,18,24,0.69,0.15,0.0
France,2021-02-26,25,49,2.0,0.83,0.0
France,2021-02-26,50,59,5.15,3.11,0.0
France,2021-02-26,60,69,4.25,2.22,0.0
France,2021-02-26,70,79,13.12,6.73,0.0
France,2021-02-26,80,,27.06,15.08,0.0
France,2021-03-05,0,17,0.02,0.0,0.0
France,2021-03-05,18,24,0.95,0.18,0.0
France,2021-03-05,25,49,2.5,0.94,0.0
France,2021-03-05,50,59,7.11,3.38,0.0
France,2021-03-05,60,69,6.91,2.53,0.0
France,2021-03-05,70,79,17.37,8.71,0.0
France,2021-03-05,80,,32.33,18.71,0.0
France,2021-03-12,0,17,0.02,0.0,0.0
France,2021-03-12,18,24,1.25,0.21,0.0
France,2021-03-12,25,49,3.16,1.05,0.0
France,2021-03-12,50,59,9.2,3.6,0.0
France,2021-03-12,60,69,10.64,2.83,0.0
France,2021-03-12,70,79,23.86,10.43,0.0
France,2021-03-12,80,,38.81,21.82,0.0
France,2021-03-19,0,17,0.02,0.0,0.0
France,2021-03-19,18,24,1.43,0.23,0.0
France,2021-03-19,25,49,3.57,1.14,0.0
France,2021-03-19,50,59,10.28,3.76,0.0
France,2021-03-19,60,69,13.02,3.06,0.0
France,2021-03-19,70,79,30.15,11.54,0.0
France,2021-03-19,80,,46.25,23.85,0.0
France,2021-03-26,0,17,0.03,0.0,0.0
France,2021-03-26,18,24,1.7,0.26,0.0
France,2021-03-26,25,49,4.21,1.22,0.0
France,2021-03-26,50,59,12.4,3.92,0.0
France,2021-03-26,60,69,18.21,3.32,0.0
France,2021-03-26,70,79,39.64,12.88,0.0
France,2021-03-26,80,,53.8,26.13,0.0
France,2021-04-02,0,17,0.03,0.0,0.0
France,2021-04-02,18,24,2.15,0.29,0.0
France,2021-04-02,25,49,5.13,1.33,0.0
France,2021-04-02,50,59,14.57,4.16,0.0
France,2021-04-02,60,69,22.82,3.85,0.0
France,2021-04-02,70,79,48.67,15.9,0.0
France,2021-04-02,80,,59.1,30.92,0.0
France,2021-04-09,0,17,0.04,0.01,0.0
