location,date,age_group_min,age_group_max,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,people_with_booster_per_hundred
France,2021-01-08,0,17,0.0,0.0,0.0
France,2021-01-08,18,24,0.03,0.0,0.0
France,2021-01-08,25,49,0.09,0.0,0.0
France,2021-01-08,50,59,0.45,0.0,0.0
France,2021-01-08,60,69,0.29,0.0,0.0
France,2021-01-08,70,79,0.16,0.0,0.0
France,2021-01-08,80,,0.42,0.0,0.0
France,2021-01-15,0,17,0.0,0.0,0.0
France,2021-01-15,18,24,0.08,0.0,0.0
France,2021-01-15,25,49,0.39,0.0,0.0
France,2021-01-15,50,59,1.75,0.0,0.0
France,2021-01-15,60,69,1.05,0.0,0.0
France,2021-01-15,70,79,0.83,0.0,0.0
France,2021-01-15,80,,2.1,0.0,0.0
France,2021-01-22,0,17,0.0,0.0,0.0
France,2021-01-22,18,24,0.15,0.0,0.0
France,2021-01-22,25,49,0.7,0.0,0.0
France,2021-01-22,50,59,2.73,0.0,0.0
France,2021-01-22,60,69,1.76,0.0,0.0
France,2021-01-22,70,79,3.92,0.01,0.0
France,2021-01-22,80,,8.98,0.01,0.0
France,2021-01-29,0,17,0.01,0.0,0.0
France,2021-01-29,18,24,0.2,0.0,0.0
France,2021-01-29,25,49,0.89,0.03,0.0
France,2021-01-29,50,59,3.24,0.2,0.0
France,2021-01-29,60,69,2.25,0.13,0.0
France,2021-01-29,70,79,6.66,0.08,0.0
France,2021-01-29,80,,14.93,0.26,0.0
France,2021-02-05,0,17,0.01,0.0,0.0
France,2021-02-05,18,24,0.24,0.03,0.0
France,2021-02-05,25,49,1.02,0.19,0.0
France,2021-02-05,50,59,3.53,0.99,0.0
France,2021-02-05,60,69,2.57,0.59,0.0
France,2021-02-05,70,79,8.73,0.44,0.0
France,2021-02-05,80,,19.09,1.38,0.0
France,2021-02-12,0,17,0.01,0.0,0.0
France,2021-02-12,18,24,0.35,0.07,0.0
France,2021-02-12,25,49,1.32,0.45,0.0
France,2021-02-12,50,59,3.87,1.94,0.0
France,2021-02-12,60,69,2.94,1.2,0.0
France,2021-02-12,70,79,10.55,1.58,0.0
France,2021-02-12,80,,22.47,4.81,0.0
France,2021-02-19,0,17,0.01,0.0,0.0
France,2021-02-19,18,24,0.51,0.12,0.0
France,2021-02-19,25,49,1.66,0.67,0.0
France,2021-02-19,50,59,4.2,2.65,0.0
France,2021-02-19,60,69,3.27,1.75,0.0
France,2021-02-19,70,79,11.73,4.14,0.0
France,2021-02-19,80,,24.67,10.09,0.0
France,2021-02-26,0,17,0.01,0.0,0.0
France,2021-02-26,18,24,0.69,0.15,0.0
France,2021-02-26,25,49,2.0,0.81,0.0
France,2021-02-26,50,59,5.15,3.05,0.0
France,2021-02-26,60,69,4.24,2.13,0.0
France,2021-02-26,70,79,13.11,6.53,0.0
France,2021-02-26,80,,27.05,14.66,0.0
France,2021-03-05,0,17,0.01,0.0,0.0
France,2021-03-05,18,24,0.94,0.18,0.0
France,2021-03-05,25,49,2.5,0.93,0.0
France,2021-03-05,50,59,7.11,3.32,0.0
France,2021-03-05,60,69,6.9,2.44,0.0
France,2021-03-05,70,79,17.36,8.49,0.0
France,2021-03-05,80,,32.32,18.27,0.0
France,2021-03-12,0,17,0.02,0.0,0.0
France,2021-03-12,18,24,1.25,0.21,0.0
France,2021-03-12,25,49,3.15,1.03,0.0
France,2021-03-12,50,59,9.19,3.55,0.0
France,2021-03-12,60,69,10.62,2.74,0.0
France,2021-03-12,70,79,23.84,10.21,0.0
France,2021-03-12,80,,38.8,21.4,0.0
France,2021-03-19,0,17,0.02,0.0,0.0
France,2021-03-19,18,24,1.42,0.23,0.0
France,2021-03-19,25,49,3.56,1.12,0.0
France,2021-03-19,50,59,10.27,3.71,0.0
France,2021-03-19,60,69,13.01,2.98,0.0
France,2021-03-19,70,79,30.13,11.33,0.0
France,2021-03-19,80,,46.24,23.45,0.0
France,2021-03-26,0,17,0.02,0.0,0.0
France,2021-03-26,18,24,1.7,0.26,0.0
France,2021-03-26,25,49,4.21,1.2,0.0
France,2021-03-26,50,59,12.39,3.87,0.0
France,2021-03-26,60,69,18.19,3.24,0.0
France,2021-03-26,70,79,39.62,12.66,0.0
France,2021-03-26,80,,53.78,25.74,0.0
France,2021-04-02,0,17,0.03,0.0,0.0
France,2021-04-02,18,24,2.14,0.29,0.0
France,2021-04-02,25,49,5.12,1.31,0.0
France,2021-04-02,50,59,14.57,4.11,0.0
France,2021-04-02,60,69,22.8,3.75,0.0
France,2021-04-02,70,79,48.65,15.62,0.0
France,2021-04-02,80,,59.09,30.46,0.0
France,2021-04-09,0,17,0.04,0.0,0.0
France,2021-04-09,18,24,2.65,0.33,0.0
France,2021-04-09,25,49,6.1,1.47,0.0
France,2021-04-09,50,59,17.09,4.49,0.0
France,2021-04-09,60,69,27.88,4.58,0.0
France,2021-04-09,70,79,57.33,19.4,0.0
France,2021-04-09,80,,63.34,35.98,0.0
France,2021-04-16,0,17,0.04,0.01,0.0
France,2021-04-16,18,24,3.16,0.43,0.0
France,2021-04-16,25,49,7.12,1.76,0.0
