location,date,age_group_min,age_group_max,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,people_with_booster_per_hundred
Ireland,2021-01-08,10,14,0.0,0.0,0.0
Ireland,2021-01-08,15,17,0.0,0.0,0.0
Ireland,2021-01-08,18,24,0.52,0.0,0.0
Ireland,2021-01-08,25,49,1.83,0.0,0.0
Ireland,2021-01-08,50,59,1.91,0.0,0.0
Ireland,2021-01-08,60,69,1.01,0.0,0.0
Ireland,2021-01-08,70,79,0.13,0.0,0.0
Ireland,2021-01-08,80,,0.5,0.0,0.0
Ireland,2021-01-15,15,17,0.01,0.0,0.0
Ireland,2021-01-15,18,24,0.99,0.0,0.0
Ireland,2021-01-15,25,49,3.1,0.0,0.0
Ireland,2021-01-15,5,9,0.0,0.0,0.0
Ireland,2021-01-15,50,59,3.6,0.0,0.0
Ireland,2021-01-15,60,69,2.22,0.0,0.0
Ireland,2021-01-15,70,79,0.78,0.0,0.0
Ireland,2021-01-15,80,,3.87,0.0,0.0
Ireland,2021-01-22,15,17,0.01,0.0,0.0
Ireland,2021-01-22,18,24,1.42,0.03,0.0
Ireland,2021-01-22,25,49,4.05,0.14,0.0
Ireland,2021-01-22,50,59,4.9,0.13,0.0
Ireland,2021-01-22,60,69,3.3,0.06,0.0
Ireland,2021-01-22,70,79,1.84,0.01,0.0
Ireland,2021-01-22,80,,10.07,0.01,0.0
Ireland,2021-01-29,10,14,0.0,0.0,0.0
Ireland,2021-01-29,15,17,0.01,0.0,0.0
Ireland,2021-01-29,18,24,1.48,0.5,0.0
Ireland,2021-01-29,25,49,4.24,1.74,0.0
Ireland,2021-01-29,50,59,5.11,1.84,0.0
Ireland,2021-01-29,60,69,3.57,0.98,0.0
Ireland,2021-01-29,70,79,2.13,0.13,0.0
Ireland,2021-01-29,80,,10.27,0.43,0.0
Ireland,2021-02-05,15,17,0.01,0.0,0.0
Ireland,2021-02-05,18,24,1.6,0.93,0.0
Ireland,2021-02-05,25,49,4.52,2.91,0.0
Ireland,2021-02-05,50,59,5.42,3.39,0.0
Ireland,2021-02-05,60,69,3.77,2.08,0.0
Ireland,2021-02-05,70,79,2.2,0.69,0.0
Ireland,2021-02-05,80,,10.47,3.41,0.0
Ireland,2021-02-12,18,24,1.89,0.95,0.0
Ireland,2021-02-12,25,49,5.27,3.07,0.0
Ireland,2021-02-12,50,59,6.45,3.57,0.0
Ireland,2021-02-12,60,69,4.55,2.19,0.0
Ireland,2021-02-12,70,79,2.64,0.72,0.0
Ireland,2021-02-12,80,,11.71,3.46,0.0
Ireland,2021-02-19,10,14,0.0,0.0,0.0
Ireland,2021-02-19,15,17,0.01,0.01,0.0
Ireland,2021-02-19,18,24,2.39,1.38,0.0
Ireland,2021-02-19,25,49,6.03,3.99,0.0
Ireland,2021-02-19,50,59,7.41,4.82,0.0
Ireland,2021-02-19,60,69,5.22,3.23,0.0
Ireland,2021-02-19,70,79,2.9,1.69,0.0
Ireland,2021-02-19,80,,20.96,9.05,0.0
Ireland,2021-02-26,0,4,0.0,0.0,0.0
Ireland,2021-02-26,15,17,0.01,0.01,0.0
Ireland,2021-02-26,18,24,3.06,1.47,0.0
Ireland,2021-02-26,25,49,7.16,4.22,0.0
Ireland,2021-02-26,50,59,8.84,5.1,0.0
Ireland,2021-02-26,60,69,6.32,3.55,0.0
Ireland,2021-02-26,70,79,4.09,2.01,0.0
Ireland,2021-02-26,80,,42.67,9.46,0.0
Ireland,2021-03-05,15,17,0.01,0.01,0.0
Ireland,2021-03-05,18,24,3.57,1.57,0.0
Ireland,2021-03-05,25,49,8.04,4.45,0.0
Ireland,2021-03-05,50,59,9.96,5.38,0.0
Ireland,2021-03-05,60,69,7.31,3.73,0.0
Ireland,2021-03-05,70,79,6.59,2.1,0.0
Ireland,2021-03-05,80,,66.11,9.79,0.0
Ireland,2021-03-12,15,17,0.02,0.01,0.0
Ireland,2021-03-12,18,24,4.2,1.66,0.0
Ireland,2021-03-12,25,49,9.05,4.67,0.0
Ireland,2021-03-12,50,59,11.28,5.71,0.0
Ireland,2021-03-12,60,69,8.51,4.07,0.0
Ireland,2021-03-12,70,79,9.03,2.55,0.0
Ireland,2021-03-12,80,,86.09,11.22,0.0
Ireland,2021-03-19,15,17,0.02,0.01,0.0
Ireland,2021-03-19,18,24,4.31,1.71,0.0
Ireland,2021-03-19,25,49,9.16,4.79,0.0
