location,date,age_group_min,age_group_max,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,people_with_booster_per_hundred
Peru,2021-02-13,0,17.0,0.0,,
Peru,2021-02-13,18,24.0,0.0428,,
Peru,2021-02-13,25,49.0,0.6269,,
Peru,2021-02-13,50,59.0,0.5704,,
Peru,2021-02-13,60,69.0,0.3279,,
Peru,2021-02-13,70,79.0,0.0059,,
Peru,2021-02-13,80,,0.001,,
Peru,2021-02-20,0,17.0,0.0001,,
Peru,2021-02-20,18,24.0,0.1561,,
Peru,2021-02-20,25,49.0,1.129,,
Peru,2021-02-20,50,59.0,1.0377,,
Peru,2021-02-20,60,69.0,0.7783,,
Peru,2021-02-20,70,79.0,0.018,,
Peru,2021-02-20,80,,0.0037,,
Peru,2021-02-27,0,17.0,0.0001,,
Peru,2021-02-27,18,24.0,0.3137,,
Peru,2021-02-27,25,49.0,1.7749,,
Peru,2021-02-27,50,59.0,1.6734,,
Peru,2021-02-27,60,69.0,1.5031,,
Peru,2021-02-27,70,79.0,0.0571,,
Peru,2021-02-27,80,,0.0111,,
Peru,2021-03-06,0,17.0,0.0003,0.0,
Peru,2021-03-06,18,24.0,0.3675,0.0355,
Peru,2021-03-06,25,49.0,1.9588,0.5453,
Peru,2021-03-06,50,59.0,1.8283,0.5194,
Peru,2021-03-06,60,69.0,1.7264,0.3052,
Peru,2021-03-06,70,79.0,0.0798,0.0058,
Peru,2021-03-06,80,,0.0162,0.0001,
Peru,2021-03-13,0,17.0,0.0005,0.0001,
Peru,2021-03-13,18,24.0,0.6361,0.1226,
Peru,2021-03-13,25,49.0,2.2015,0.9893,
Peru,2021-03-13,50,59.0,2.2566,0.9401,
Peru,2021-03-13,60,69.0,1.9232,0.7091,
Peru,2021-03-13,70,79.0,0.2971,0.0184,
Peru,2021-03-13,80,,1.9832,0.0054,
Peru,2021-03-20,0,17.0,0.0014,0.0001,
Peru,2021-03-20,18,24.0,1.0826,0.2722,
Peru,2021-03-20,25,49.0,2.6017,1.6198,
Peru,2021-03-20,50,59.0,2.5173,1.5746,
Peru,2021-03-20,60,69.0,2.2043,1.4266,
Peru,2021-03-20,70,79.0,1.1353,0.0568,
Peru,2021-03-20,80,,8.2837,0.0117,
Peru,2021-03-27,0,17.0,0.0016,0.0002,
Peru,2021-03-27,18,24.0,1.4362,0.3279,
Peru,2021-03-27,25,49.0,2.7739,1.8295,
Peru,2021-03-27,50,59.0,2.6484,1.745,
Peru,2021-03-27,60,69.0,2.4617,1.6578,
Peru,2021-03-27,70,79.0,1.8765,0.0798,
Peru,2021-03-27,80,,12.2643,0.016,
Peru,2021-04-03,0,17.0,0.0017,0.0003,
Peru,2021-04-03,18,24.0,1.4897,0.5685,
Peru,2021-04-03,25,49.0,2.8713,2.0386,
Peru,2021-04-03,50,59.0,2.7197,2.1477,
Peru,2021-04-03,60,69.0,2.5513,1.826,
Peru,2021-04-03,70,79.0,1.9912,0.2609,
Peru,2021-04-03,80,,13.1308,1.7913,
Peru,2021-04-10,0,17.0,0.0019,0.0006,
Peru,2021-04-10,18,24.0,1.7224,0.8308,
Peru,2021-04-10,25,49.0,3.2406,2.3441,
Peru,2021-04-10,50,59.0,2.9701,2.373,
Peru,2021-04-10,60,69.0,2.7115,2.0888,
Peru,2021-04-10,70,79.0,2.1285,0.961,
Peru,2021-04-10,80,,13.3971,6.8375,
Peru,2021-04-17,0,17.0,0.002,0.0007,
Peru,2021-04-17,18,24.0,1.8903,1.3327,
Peru,2021-04-17,25,49.0,3.2857,2.658,
Peru,2021-04-17,50,59.0,3.0031,2.5723,
Peru,2021-04-17,60,69.0,2.7354,2.3812,
Peru,2021-04-17,70,79.0,2.2068,1.7671,
Peru,2021-04-17,80,,19.7337,11.5171,
Peru,2021-04-24,0,17.0,0.0023,0.0008,
Peru,2021-04-24,18,24.0,1.9782,1.4152,
Peru,2021-04-24,25,49.0,3.4796,2.7704,
Peru,2021-04-24,50,59.0,3.2068,2.6533,
Peru,2021-04-24,60,69.0,2.8079,2.4816,
Peru,2021-04-24,70,79.0,3.1727,1.8758,
Peru,2021-04-24,80,,30.2919,12.5559,
Peru,2021-05-01,0,17.0,0.0024,0.001,
Peru,2021-05-01,18,24.0,2.0398,1.5883,
Peru,2021-05-01,25,49.0,3.543,3.1036,
Peru,2021-05-01,50,59.0,3.2435,2.8801,
Peru,2021-05-01,60,69.0,3.5866,2.6274,
Peru,2021-05-01,70,79.0,13.9872,1.9867,
Peru,2021-05-01,80,,47.5266,12.7882,
Peru,2021-05-08,0,17.0,0.003,0.0011,
Peru,2021-05-08,18,24.0,2.1392,1.7341,
Peru,2021-05-08,25,49.0,3.5893,3.1687,
Peru,2021-05-08,50,59.0,3.2622,2.9259,
Peru,2021-05-08,60,69.0,4.6874,2.6684,
Peru,2021-05-08,70,79.0,27.2716,2.0947,
Peru,2021-05-08,80,,60.051,17.9679,
Peru,2021-05-15,0,17.0,0.0039,0.0014,
Peru,2021-05-15,18,24.0,2.3376,1.8729,
Peru,2021-05-15,25,49.0,3.7252,3.3118,
Peru,2021-05-15,50,59.0,3.3498,3.0905,
Peru,2021-05-15,60,69.0,7.182,2.7358,
Peru,2021-05-15,70,79.0,49.576,2.9549,
Peru,2021-05-15,80,,65.0644,28.342,
Peru,2021-05-22,0,17.0,0.0046,0.0015,
Peru,2021-05-22,18,24.0,2.4763,1.9216,
Peru,2021-05-22,25,49.0,3.8415,3.3892,
Peru,2021-05-22,50,59.0,3.5262,3.1576,
Peru,2021-05-22,60,69.0,16.0877,2.9749,
Peru,2021-05-22,70,79.0,65.8502,9.7985,
Peru,2021-05-22,80,,68.8925,39.0446,
Peru,2021-05-29,0,17.0,0.0059,0.0018,
Peru,2021-05-29,18,24.0,2.6326,2.0313,
Peru,2021-05-29,25,49.0,4.0195,3.4839,
Peru,2021-05-29,50,59.0,4.2865,3.1979,
Peru,2021-05-29,60,69.0,35.8141,3.434,
Peru,2021-05-29,70,79.0,70.5261,20.6533,
Peru,2021-05-29,80,,71.05,51.1315,
Peru,2021-06-05,0,17.0,0.007,0.0023,
Peru,2021-06-05,18,24.0,2.7293,2.0977,
Peru,2021-06-05,25,49.0,4.1461,3.5315,
Peru,2021-06-05,50,59.0,5.0553,3.2315,
Peru,2021-06-05,60,69.0,46.8403,3.9902,
Peru,2021-06-05,70,79.0,72.1644,34.1612,
Peru,2021-06-05,80,,72.2725,54.2638,
Peru,2021-06-12,0,17.0,0.0078,0.003,
Peru,2021-06-12,18,24.0,2.8054,2.2031,
Peru,2021-06-12,25,49.0,4.2613,3.6271,
Peru,2021-06-12,50,59.0,6.7679,3.3637,
Peru,2021-06-12,60,69.0,64.4694,11.8428,
Peru,2021-06-12,70,79.0,74.9782,58.8569,
Peru,2021-06-12,80,,74.5187,63.225,
Peru,2021-06-19,0,17.0,0.0088,0.0042,
Peru,2021-06-19,18,24.0,2.956,2.41,
Peru,2021-06-19,25,49.0,4.5982,3.8392,
Peru,2021-06-19,50,59.0,8.1435,4.0476,
