location,date,age_group_min,age_group_max,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,people_with_booster_per_hundred
Iceland,2021-01-08,10,14,0.0,0.0,0.0
Iceland,2021-01-08,15,17,0.02,0.0,0.0
Iceland,2021-01-08,18,24,0.32,0.0,0.0
Iceland,2021-01-08,25,49,0.83,0.0,0.0
Iceland,2021-01-08,50,59,0.82,0.0,0.0
Iceland,2021-01-08,60,69,1.26,0.0,0.0
Iceland,2021-01-08,70,79,2.39,0.0,0.0
Iceland,2021-01-08,80,,18.03,0.0,0.0
Iceland,2021-01-15,10,14,0.0,0.0,0.0
Iceland,2021-01-15,15,17,0.02,0.0,0.0
Iceland,2021-01-15,18,24,0.61,0.0,0.0
Iceland,2021-01-15,25,49,1.42,0.0,0.0
Iceland,2021-01-15,50,59,1.29,0.0,0.0
Iceland,2021-01-15,60,69,1.71,0.0,0.0
Iceland,2021-01-15,70,79,2.4,0.0,0.0
Iceland,2021-01-15,80,,18.03,0.0,0.0
Iceland,2021-01-22,10,14,0.0,0.0,0.0
Iceland,2021-01-22,15,17,0.06,0.02,0.0
Iceland,2021-01-22,18,24,0.78,0.27,0.0
Iceland,2021-01-22,25,49,1.95,0.81,0.0
Iceland,2021-01-22,50,59,2.01,0.82,0.0
Iceland,2021-01-22,60,69,2.8,1.25,0.0
Iceland,2021-01-22,70,79,5.52,2.17,0.0
Iceland,2021-01-22,80,,34.06,17.74,0.0
Iceland,2021-01-29,10,14,0.0,0.0,0.0
Iceland,2021-01-29,15,17,0.06,0.02,0.0
Iceland,2021-01-29,18,24,0.78,0.27,0.0
Iceland,2021-01-29,25,49,2.0,0.81,0.0
Iceland,2021-01-29,50,59,2.07,0.83,0.0
Iceland,2021-01-29,60,69,2.84,1.25,0.0
Iceland,2021-01-29,70,79,5.68,2.19,0.0
Iceland,2021-01-29,80,,34.93,17.87,0.0
Iceland,2021-02-05,10,14,0.0,0.0,0.0
Iceland,2021-02-05,15,17,0.08,0.02,0.0
Iceland,2021-02-05,18,24,0.84,0.27,0.0
Iceland,2021-02-05,25,49,2.36,0.81,0.0
Iceland,2021-02-05,50,59,2.51,0.83,0.0
Iceland,2021-02-05,60,69,3.19,1.26,0.0
Iceland,2021-02-05,70,79,6.24,2.21,0.0
Iceland,2021-02-05,80,,44.03,18.07,0.0
Iceland,2021-02-12,10,14,0.0,0.0,0.0
Iceland,2021-02-12,15,17,0.08,0.02,0.0
Iceland,2021-02-12,18,24,2.0,0.41,0.0
Iceland,2021-02-12,25,49,2.76,1.26,0.0
Iceland,2021-02-12,50,59,2.98,1.15,0.0
Iceland,2021-02-12,60,69,3.5,1.56,0.0
Iceland,2021-02-12,70,79,6.26,2.22,0.0
Iceland,2021-02-12,80,,44.03,18.08,0.0
Iceland,2021-02-19,10,14,0.0,0.0,0.0
Iceland,2021-02-19,15,17,0.08,0.05,0.0
Iceland,2021-02-19,18,24,2.93,0.65,0.0
Iceland,2021-02-19,25,49,3.76,1.96,0.0
Iceland,2021-02-19,50,59,4.25,2.06,0.0
Iceland,2021-02-19,60,69,5.24,2.87,0.0
Iceland,2021-02-19,70,79,6.58,5.4,0.0
Iceland,2021-02-19,80,,45.45,34.62,0.0
Iceland,2021-02-26,10,14,0.0,0.0,0.0
Iceland,2021-02-26,15,17,0.12,0.08,0.0
Iceland,2021-02-26,18,24,4.31,0.71,0.0
Iceland,2021-02-26,25,49,4.67,2.31,0.0
Iceland,2021-02-26,50,59,5.5,2.48,0.0
Iceland,2021-02-26,60,69,6.21,3.22,0.0
Iceland,2021-02-26,70,79,7.58,5.98,0.0
Iceland,2021-02-26,80,,53.5,43.71,0.0
Iceland,2021-03-05,10,14,0.0,0.0,0.0
Iceland,2021-03-05,15,17,0.13,0.08,0.0
Iceland,2021-03-05,18,24,5.55,0.71,0.0
Iceland,2021-03-05,25,49,5.96,2.32,0.0
Iceland,2021-03-05,50,59,6.98,2.5,0.0
Iceland,2021-03-05,60,69,7.31,3.23,0.0
Iceland,2021-03-05,70,79,7.93,6.0,0.0
Iceland,2021-03-05,80,,92.34,43.88,0.0
Iceland,2021-03-12,10,14,0.0,0.0,0.0
Iceland,2021-03-12,15,17,0.16,0.08,0.0
Iceland,2021-03-12,18,24,5.89,0.73,0.0
Iceland,2021-03-12,25,49,6.45,2.34,0.0
Iceland,2021-03-12,50,59,7.73,2.53,0.0
Iceland,2021-03-12,60,69,9.02,3.31,0.0
Iceland,2021-03-12,70,79,14.84,6.07,0.0
Iceland,2021-03-12,80,,103.56,44.53,0.0
Iceland,2021-03-19,10,14,0.0,0.0,0.0
Iceland,2021-03-19,15,17,0.16,0.1,0.0
Iceland,2021-03-19,18,24,5.89,0.87,0.0
Iceland,2021-03-19,25,49,6.48,2.62,0.0
Iceland,2021-03-19,50,59,7.77,2.94,0.0
Iceland,2021-03-19,60,69,9.24,4.38,0.0
Iceland,2021-03-19,70,79,29.46,7.2,0.0
Iceland,2021-03-19,80,,104.39,51.58,0.0
Iceland,2021-03-26,10,14,0.0,0.0,0.0
Iceland,2021-03-26,15,17,0.17,0.11,0.0
Iceland,2021-03-26,18,24,6.2,0.98,0.0
Iceland,2021-03-26,25,49,6.99,2.82,0.0
Iceland,2021-03-26,50,59,8.48,3.16,0.0
Iceland,2021-03-26,60,69,9.81,4.98,0.0
Iceland,2021-03-26,70,79,55.06,7.59,0.0
Iceland,2021-03-26,80,,104.67,90.38,0.0
Iceland,2021-04-02,10,14,0.0,0.0,0.0
Iceland,2021-04-02,15,17,0.18,0.12,0.0
Iceland,2021-04-02,18,24,6.51,1.09,0.0
Iceland,2021-04-02,25,49,7.64,2.87,0.0
Iceland,2021-04-02,50,59,9.29,3.21,0.0
Iceland,2021-04-02,60,69,10.72,6.21,0.0
Iceland,2021-04-02,70,79,68.23,14.14,0.0
Iceland,2021-04-02,80,,104.88,101.66,0.0
Iceland,2021-04-09,10,14,0.0,0.0,0.0
Iceland,2021-04-09,15,17,0.2,0.15,0.0
Iceland,2021-04-09,18,24,6.91,1.1,0.0
Iceland,2021-04-09,25,49,8.27,2.9,0.0
Iceland,2021-04-09,50,59,11.44,3.27,0.0
Iceland,2021-04-09,60,69,17.62,6.42,0.0
Iceland,2021-04-09,70,79,94.3,27.96,0.0
Iceland,2021-04-09,80,,105.27,103.45,0.0
Iceland,2021-04-16,10,14,0.0,0.0,0.0
Iceland,2021-04-16,15,17,0.22,0.16,0.0
Iceland,2021-04-16,18,24,7.35,1.37,0.0
Iceland,2021-04-16,25,49,10.2,3.34,0.0
Iceland,2021-04-16,50,59,14.38,3.89,0.0
Iceland,2021-04-16,60,69,30.08,7.03,0.0
Iceland,2021-04-16,70,79,96.98,29.65,0.0
Iceland,2021-04-16,80,,105.41,104.08,0.0
Iceland,2021-04-23,10,14,0.0,0.0,0.0
Iceland,2021-04-23,15,17,0.3,0.16,0.0
Iceland,2021-04-23,18,24,8.78,1.71,0.0
Iceland,2021-04-23,25,49,12.94,4.03,0.0
Iceland,2021-04-23,50,59,19.95,4.74,0.0
Iceland,2021-04-23,60,69,40.24,7.71,0.0
Iceland,2021-04-23,70,79,97.51,35.41,0.0
Iceland,2021-04-23,80,,105.48,104.21,0.0
Iceland,2021-04-30,10,14,0.0,0.0,0.0
Iceland,2021-04-30,15,17,0.42,0.17,0.0
Iceland,2021-04-30,18,24,9.96,2.02,0.0
Iceland,2021-04-30,25,49,15.31,4.56,0.0
Iceland,2021-04-30,50,59,36.4,5.96,0.0
Iceland,2021-04-30,60,69,87.42,12.77,0.0
Iceland,2021-04-30,70,79,98.77,36.97,0.0
Iceland,2021-04-30,80,,105.71,104.27,0.0
Iceland,2021-05-07,10,14,0.0,0.0,0.0
Iceland,2021-05-07,15,17,1.61,0.19,0.0
Iceland,2021-05-07,18,24,16.84,8.1,0.0
Iceland,2021-05-07,25,49,25.74,10.91,0.0
Iceland,2021-05-07,50,59,66.08,14.31,0.0
Iceland,2021-05-07,60,69,90.17,25.78,0.0
Iceland,2021-05-07,70,79,99.08,37.99,0.0
Iceland,2021-05-07,80,,105.78,104.36,0.0
Iceland,2021-05-14,10,14,0.0,0.0,0.0
Iceland,2021-05-14,15,17,2.33,0.29,0.0
Iceland,2021-05-14,18,24,18.5,10.01,0.0
Iceland,2021-05-14,25,49,28.74,13.45,0.0
Iceland,2021-05-14,50,59,70.7,18.15,0.0
Iceland,2021-05-14,60,69,90.93,36.34,0.0
Iceland,2021-05-14,70,79,99.3,38.39,0.0
Iceland,2021-05-14,80,,105.84,104.46,0.0
Iceland,2021-05-21,10,14,0.0,0.0,0.0
Iceland,2021-05-21,15,17,3.09,0.42,0.0
Iceland,2021-05-21,18,24,23.47,14.48,0.0
Iceland,2021-05-21,25,49,35.32,19.01,0.0
Iceland,2021-05-21,50,59,81.92,31.35,0.0
Iceland,2021-05-21,60,69,91.48,39.31,0.0
Iceland,2021-05-21,70,79,99.47,38.86,0.0
Iceland,2021-05-21,80,,105.92,104.52,0.0
Iceland,2021-05-28,10,14,0.0,0.0,0.0
Iceland,2021-05-28,15,17,3.71,1.52,0.0
Iceland,2021-05-28,18,24,25.13,17.52,0.0
Iceland,2021-05-28,25,49,38.84,23.27,0.0
Iceland,2021-05-28,50,59,84.16,39.13,0.0
Iceland,2021-05-28,60,69,93.1,41.13,0.0
Iceland,2021-05-28,70,79,100.43,41.0,0.0
Iceland,2021-05-28,80,,105.97,104.58,0.0
Iceland,2021-06-04,10,14,0.0,0.0,0.0
Iceland,2021-06-04,15,17,5.4,2.13,0.0
Iceland,2021-06-04,18,24,31.36,20.78,0.0
Iceland,2021-06-04,25,49,47.71,27.73,0.0
Iceland,2021-06-04,50,59,87.22,45.4,0.0
Iceland,2021-06-04,60,69,94.39,41.94,0.0
Iceland,2021-06-04,70,79,101.23,41.87,0.0
Iceland,2021-06-04,80,,106.22,104.63,0.0
Iceland,2021-06-11,10,14,0.01,0.0,0.0
Iceland,2021-06-11,15,17,10.3,2.83,0.0
Iceland,2021-06-11,18,24,54.19,30.88,0.0
Iceland,2021-06-11,25,49,60.8,36.34,0.0
Iceland,2021-06-11,50,59,88.51,51.85,0.0
Iceland,2021-06-11,60,69,94.84,44.47,0.0
Iceland,2021-06-11,70,79,101.49,76.12,0.0
Iceland,2021-06-11,80,,106.31,104.99,0.0
Iceland,2021-06-18,10,14,0.01,0.0,0.0
Iceland,2021-06-18,15,17,33.6,3.58,0.0
Iceland,2021-06-18,18,24,71.32,43.34,0.0
Iceland,2021-06-18,25,49,72.46,47.93,0.0
Iceland,2021-06-18,50,59,89.8,58.49,0.0
Iceland,2021-06-18,60,69,95.05,47.05,0.0
Iceland,2021-06-18,70,79,101.61,87.85,0.0
Iceland,2021-06-18,80,,106.32,105.1,0.0
Iceland,2021-06-25,10,14,0.49,0.0,0.0
Iceland,2021-06-25,15,17,56.44,5.21,0.0
Iceland,2021-06-25,18,24,81.27,54.43,0.0
Iceland,2021-06-25,25,49,80.46,58.48,0.0
Iceland,2021-06-25,50,59,91.57,61.4,0.0
Iceland,2021-06-25,60,69,96.13,52.46,0.0
Iceland,2021-06-25,70,79,102.3,93.07,0.0
Iceland,2021-06-25,80,,106.58,105.56,0.0
Iceland,2021-07-02,10,14,0.69,0.0,0.0
Iceland,2021-07-02,15,17,57.26,9.49,0.0
Iceland,2021-07-02,18,24,81.99,69.43,0.0
Iceland,2021-07-02,25,49,80.91,71.0,0.0
Iceland,2021-07-02,50,59,91.76,83.34,0.0
Iceland,2021-07-02,60,69,96.31,90.36,0.0
Iceland,2021-07-02,70,79,102.41,100.08,0.0
Iceland,2021-07-02,80,,106.61,105.93,0.0
Iceland,2021-07-09,10,14,0.76,0.01,0.0
Iceland,2021-07-09,15,17,57.71,30.49,0.0
Iceland,2021-07-09,18,24,83.52,77.8,0.0
Iceland,2021-07-09,25,49,82.13,76.31,0.0
Iceland,2021-07-09,50,59,92.21,88.18,0.0
Iceland,2021-07-09,60,69,96.56,93.18,0.01
Iceland,2021-07-09,70,79,102.5,100.87,0.0
Iceland,2021-07-09,80,,106.68,106.04,0.0
Iceland,2021-07-16,10,14,1.59,0.42,0.0
Iceland,2021-07-16,15,17,60.56,52.28,0.0
Iceland,2021-07-16,18,24,84.49,81.98,0.0
Iceland,2021-07-16,25,49,82.92,80.8,0.0
Iceland,2021-07-16,50,59,92.51,91.01,0.0
Iceland,2021-07-16,60,69,96.71,95.79,0.01
Iceland,2021-07-16,70,79,102.63,101.44,0.0
Iceland,2021-07-16,80,,106.74,106.21,0.0
Iceland,2021-07-23,10,14,1.63,0.57,0.0
Iceland,2021-07-23,15,17,60.79,54.64,0.0
Iceland,2021-07-23,18,24,84.76,82.61,0.0
Iceland,2021-07-23,25,49,83.15,81.21,0.0
Iceland,2021-07-23,50,59,92.55,91.22,0.0
Iceland,2021-07-23,60,69,96.74,95.92,0.01
Iceland,2021-07-23,70,79,102.65,101.5,0.0
Iceland,2021-07-23,80,,106.76,106.21,0.0
Iceland,2021-07-30,10,14,1.66,0.62,0.0
Iceland,2021-07-30,15,17,60.97,55.57,0.0
Iceland,2021-07-30,18,24,85.03,82.83,0.43
Iceland,2021-07-30,25,49,83.65,81.43,0.18
Iceland,2021-07-30,50,59,92.6,91.61,0.17
Iceland,2021-07-30,60,69,96.78,96.03,0.04
Iceland,2021-07-30,70,79,102.68,101.56,0.01
Iceland,2021-07-30,80,,106.8,106.21,0.0
Iceland,2021-08-06,10,14,1.78,0.89,0.0
Iceland,2021-08-06,15,17,61.55,56.61,0.02
Iceland,2021-08-06,18,24,85.38,83.16,4.3
Iceland,2021-08-06,25,49,84.04,81.73,2.89
Iceland,2021-08-06,50,59,92.69,91.75,1.64
Iceland,2021-08-06,60,69,96.85,96.12,0.19
Iceland,2021-08-06,70,79,102.71,101.61,0.04
Iceland,2021-08-06,80,,106.85,106.24,0.01
Iceland,2021-08-13,10,14,3.02,1.04,0.0
Iceland,2021-08-13,15,17,62.86,57.23,0.04
Iceland,2021-08-13,18,24,85.75,83.42,9.18
Iceland,2021-08-13,25,49,84.41,81.94,6.71
Iceland,2021-08-13,50,59,92.81,91.84,3.38
Iceland,2021-08-13,60,69,96.92,96.16,0.5
Iceland,2021-08-13,70,79,102.77,101.66,0.19
Iceland,2021-08-13,80,,106.93,106.27,0.95
Iceland,2021-08-20,10,14,10.88,1.44,0.0
Iceland,2021-08-20,15,17,69.31,59.72,0.08
Iceland,2021-08-20,18,24,86.25,84.25,23.36
Iceland,2021-08-20,25,49,84.8,82.85,17.03
Iceland,2021-08-20,50,59,92.95,92.04,5.23
Iceland,2021-08-20,60,69,97.02,96.28,1.09
Iceland,2021-08-20,70,79,102.82,101.76,1.9
Iceland,2021-08-20,80,,107.06,106.33,17.12
Iceland,2021-08-27,10,14,34.41,1.64,0.0
Iceland,2021-08-27,15,17,86.06,60.1,0.1
Iceland,2021-08-27,18,24,86.46,84.48,23.89
Iceland,2021-08-27,25,49,84.96,83.14,17.68
Iceland,2021-08-27,50,59,93.0,92.11,5.84
Iceland,2021-08-27,60,69,97.05,96.35,1.34
Iceland,2021-08-27,70,79,102.83,101.78,2.8
Iceland,2021-08-27,80,,107.2,106.39,23.42
Iceland,2021-09-03,10,14,35.84,2.57,0.0
Iceland,2021-09-03,15,17,86.76,61.09,0.1
Iceland,2021-09-03,18,24,86.58,84.72,24.07
Iceland,2021-09-03,25,49,85.11,83.38,17.89
Iceland,2021-09-03,50,59,93.05,92.18,5.95
Iceland,2021-09-03,60,69,97.08,96.41,1.48
Iceland,2021-09-03,70,79,102.86,101.83,4.19
Iceland,2021-09-03,80,,107.22,106.42,28.35
Iceland,2021-09-10,10,14,36.27,5.58,0.0
Iceland,2021-09-10,15,17,87.25,63.39,0.1
Iceland,2021-09-10,18,24,86.73,84.96,24.93
Iceland,2021-09-10,25,49,85.23,83.66,18.57
Iceland,2021-09-10,50,59,93.09,92.29,6.37
Iceland,2021-09-10,60,69,97.11,96.46,2.16
Iceland,2021-09-10,70,79,102.88,101.9,6.88
Iceland,2021-09-10,80,,107.24,106.45,35.17
Iceland,2021-09-17,10,14,37.49,27.86,0.0
Iceland,2021-09-17,15,17,88.18,80.4,0.1
Iceland,2021-09-17,18,24,86.83,85.16,25.06
Iceland,2021-09-17,25,49,85.33,83.88,18.69
Iceland,2021-09-17,50,59,93.12,92.37,6.47
Iceland,2021-09-17,60,69,97.11,96.5,2.55
Iceland,2021-09-17,70,79,102.89,101.95,15.25
Iceland,2021-09-17,80,,107.24,106.5,44.56
Iceland,2021-09-24,10,14,38.03,32.13,0.0
Iceland,2021-09-24,15,17,88.49,82.94,0.11
Iceland,2021-09-24,18,24,86.89,85.32,25.1
