location,date,age_group_min,age_group_max,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,people_with_booster_per_hundred
Sweden,2021-01-01,18,24,0.0,0.0,0.0
Sweden,2021-01-01,25,49,0.0,0.0,0.0
Sweden,2021-01-01,50,59,0.01,0.0,0.0
Sweden,2021-01-01,60,69,0.01,0.0,0.0
Sweden,2021-01-01,70,79,0.03,0.0,0.0
Sweden,2021-01-01,80,,0.22,0.0,0.0
Sweden,2021-01-08,18,24,0.06,0.0,0.0
Sweden,2021-01-08,25,49,0.15,0.0,0.0
Sweden,2021-01-08,50,59,0.32,0.0,0.0
Sweden,2021-01-08,60,69,0.36,0.0,0.0
Sweden,2021-01-08,70,79,0.65,0.0,0.0
Sweden,2021-01-08,80,,4.05,0.0,0.0
Sweden,2021-01-15,18,24,0.26,0.0,0.0
Sweden,2021-01-15,25,49,0.7,0.0,0.0
Sweden,2021-01-15,50,59,1.22,0.0,0.0
Sweden,2021-01-15,60,69,1.2,0.0,0.0
Sweden,2021-01-15,70,79,1.4,0.0,0.0
Sweden,2021-01-15,80,,8.14,0.0,0.0
Sweden,2021-01-22,18,24,0.65,0.01,0.0
Sweden,2021-01-22,25,49,1.59,0.02,0.0
Sweden,2021-01-22,50,59,2.59,0.05,0.0
Sweden,2021-01-22,60,69,2.47,0.07,0.0
Sweden,2021-01-22,70,79,2.35,0.15,0.0
Sweden,2021-01-22,80,,12.64,0.99,0.0
Sweden,2021-01-29,18,24,0.93,0.03,0.0
Sweden,2021-01-29,25,49,2.13,0.09,0.0
Sweden,2021-01-29,50,59,3.46,0.2,0.0
Sweden,2021-01-29,60,69,3.27,0.25,0.0
Sweden,2021-01-29,70,79,2.93,0.5,0.0
Sweden,2021-01-29,80,,15.42,3.12,0.0
Sweden,2021-02-05,18,24,1.09,0.16,0.0
Sweden,2021-02-05,25,49,2.42,0.43,0.0
Sweden,2021-02-05,50,59,3.95,0.8,0.0
Sweden,2021-02-05,60,69,3.77,0.82,0.0
Sweden,2021-02-05,70,79,3.44,1.08,0.0
Sweden,2021-02-05,80,,17.71,6.45,0.0
Sweden,2021-02-12,18,24,1.26,0.35,0.0
Sweden,2021-02-12,25,49,2.72,0.91,0.0
Sweden,2021-02-12,50,59,4.4,1.59,0.0
Sweden,2021-02-12,60,69,4.22,1.6,0.0
Sweden,2021-02-12,70,79,3.98,1.86,0.0
Sweden,2021-02-12,80,,20.68,10.52,0.0
Sweden,2021-02-19,18,24,1.63,0.69,0.0
Sweden,2021-02-19,25,49,3.25,1.67,0.0
Sweden,2021-02-19,50,59,5.18,2.78,0.0
Sweden,2021-02-19,60,69,4.93,2.68,0.0
Sweden,2021-02-19,70,79,4.75,2.59,0.0
Sweden,2021-02-19,80,,24.45,13.79,0.0
Sweden,2021-02-26,18,24,2.1,0.94,0.0
Sweden,2021-02-26,25,49,3.96,2.14,0.0
Sweden,2021-02-26,50,59,6.21,3.53,0.0
Sweden,2021-02-26,60,69,5.91,3.38,0.0
Sweden,2021-02-26,70,79,5.79,3.08,0.0
Sweden,2021-02-26,80,,30.91,16.06,0.0
Sweden,2021-03-05,18,24,2.7,1.05,0.0
Sweden,2021-03-05,25,49,5.16,2.37,0.0
Sweden,2021-03-05,50,59,7.79,3.91,0.0
Sweden,2021-03-05,60,69,7.36,3.79,0.0
Sweden,2021-03-05,70,79,7.18,3.57,0.0
Sweden,2021-03-05,80,,40.52,18.45,0.0
Sweden,2021-03-12,18,24,3.27,1.13,0.0
Sweden,2021-03-12,25,49,6.18,2.51,0.0
Sweden,2021-03-12,50,59,9.08,4.14,0.0
Sweden,2021-03-12,60,69,8.74,4.14,0.0
