location,date,age_group_min,age_group_max,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,people_with_booster_per_hundred
Slovenia,2021-01-01,18,24,0.01,0.0,0.0
Slovenia,2021-01-01,25,49,0.07,0.0,0.0
Slovenia,2021-01-01,50,59,0.17,0.0,0.0
Slovenia,2021-01-01,60,69,0.16,0.0,0.0
Slovenia,2021-01-01,70,79,0.38,0.0,0.0
Slovenia,2021-01-01,80,,1.57,0.0,0.0
Slovenia,2021-01-08,0,17,0.0,0.0,0.0
Slovenia,2021-01-08,18,24,0.34,0.0,0.0
Slovenia,2021-01-08,25,49,1.62,0.0,0.0
Slovenia,2021-01-08,50,59,2.32,0.0,0.0
Slovenia,2021-01-08,60,69,1.23,0.0,0.0
Slovenia,2021-01-08,70,79,0.97,0.0,0.0
Slovenia,2021-01-08,80,,2.56,0.0,0.0
Slovenia,2021-01-15,0,17,0.0,0.0,0.0
Slovenia,2021-01-15,18,24,0.52,0.0,0.0
Slovenia,2021-01-15,25,49,2.04,0.01,0.0
Slovenia,2021-01-15,50,59,2.85,0.01,0.0
Slovenia,2021-01-15,60,69,1.56,0.01,0.0
Slovenia,2021-01-15,70,79,1.42,0.0,0.0
Slovenia,2021-01-15,80,,11.45,0.01,0.0
Slovenia,2021-01-22,0,17,0.0,0.0,0.0
Slovenia,2021-01-22,18,24,0.57,0.05,0.0
Slovenia,2021-01-22,25,49,2.21,0.34,0.0
Slovenia,2021-01-22,50,59,3.09,0.61,0.0
Slovenia,2021-01-22,60,69,1.64,0.38,0.0
Slovenia,2021-01-22,70,79,1.51,0.46,0.0
Slovenia,2021-01-22,80,,12.87,1.9,0.0
Slovenia,2021-01-29,0,17,0.0,0.0,0.0
Slovenia,2021-01-29,18,24,0.62,0.29,0.0
Slovenia,2021-01-29,25,49,2.29,1.46,0.0
Slovenia,2021-01-29,50,59,3.17,2.12,0.0
Slovenia,2021-01-29,60,69,1.68,1.16,0.0
Slovenia,2021-01-29,70,79,1.55,0.84,0.0
Slovenia,2021-01-29,80,,13.13,2.33,0.0
Slovenia,2021-02-05,0,17,0.0,0.0,0.0
Slovenia,2021-02-05,18,24,0.64,0.46,0.0
