location,date,age_group_min,age_group_max,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,people_with_booster_per_hundred
Cyprus,2021-01-01,18,24,0.01,0.0,0.0
Cyprus,2021-01-01,25,49,0.02,0.0,0.0
Cyprus,2021-01-01,50,59,0.02,0.0,0.0
Cyprus,2021-01-01,60,69,0.04,0.0,0.0
Cyprus,2021-01-01,70,79,0.04,0.0,0.0
Cyprus,2021-01-01,80,,0.63,0.0,0.0
Cyprus,2021-01-08,18,24,0.09,0.0,0.0
Cyprus,2021-01-08,25,49,0.59,0.0,0.0
Cyprus,2021-01-08,50,59,0.85,0.0,0.0
Cyprus,2021-01-08,60,69,0.76,0.0,0.0
Cyprus,2021-01-08,70,79,0.71,0.0,0.0
Cyprus,2021-01-08,80,,5.59,0.0,0.0
Cyprus,2021-01-15,18,24,0.1,0.0,0.0
Cyprus,2021-01-15,25,49,0.79,0.02,0.0
Cyprus,2021-01-15,50,59,1.16,0.01,0.0
Cyprus,2021-01-15,60,69,1.06,0.03,0.0
Cyprus,2021-01-15,70,79,0.9,0.04,0.0
Cyprus,2021-01-15,80,,14.18,0.57,0.0
Cyprus,2021-01-22,18,24,0.14,0.03,0.0
Cyprus,2021-01-22,25,49,0.89,0.23,0.0
Cyprus,2021-01-22,50,59,1.33,0.34,0.0
Cyprus,2021-01-22,60,69,1.22,0.38,0.0
Cyprus,2021-01-22,70,79,1.1,0.41,0.0
Cyprus,2021-01-22,80,,25.92,2.51,0.0
Cyprus,2021-01-29,18,24,0.16,0.07,0.0
Cyprus,2021-01-29,25,49,0.94,0.54,0.0
Cyprus,2021-01-29,50,59,1.41,0.77,0.0
Cyprus,2021-01-29,60,69,1.29,0.71,0.0
Cyprus,2021-01-29,70,79,1.25,0.64,0.0
Cyprus,2021-01-29,80,,37.55,5.03,0.0
Cyprus,2021-02-05,18,24,0.18,0.08,0.0
Cyprus,2021-02-05,25,49,1.0,0.73,0.0
Cyprus,2021-02-05,50,59,1.52,1.07,0.0
Cyprus,2021-02-05,60,69,1.4,1.01,0.0
Cyprus,2021-02-05,70,79,1.52,0.83,0.0
Cyprus,2021-02-05,80,,45.59,13.49,0.0
Cyprus,2021-02-12,18,24,0.2,0.12,0.0
Cyprus,2021-02-12,25,49,1.16,0.82,0.0
Cyprus,2021-02-12,50,59,1.8,1.23,0.0
Cyprus,2021-02-12,60,69,1.71,1.16,0.0
Cyprus,2021-02-12,70,79,2.59,1.01,0.0
Cyprus,2021-02-12,80,,59.39,24.53,0.0
Cyprus,2021-02-19,18,24,0.38,0.14,0.0
Cyprus,2021-02-19,25,49,1.4,0.87,0.0
Cyprus,2021-02-19,50,59,2.11,1.31,0.0
Cyprus,2021-02-19,60,69,2.06,1.24,0.0
Cyprus,2021-02-19,70,79,9.62,1.16,0.0
Cyprus,2021-02-19,80,,69.08,36.01,0.0
Cyprus,2021-02-26,18,24,0.48,0.16,0.0
Cyprus,2021-02-26,25,49,1.52,0.95,0.0
Cyprus,2021-02-26,50,59,2.27,1.44,0.0
Cyprus,2021-02-26,60,69,2.27,1.36,0.0
Cyprus,2021-02-26,70,79,30.46,1.43,0.0
Cyprus,2021-02-26,80,,72.72,44.52,0.0
Cyprus,2021-03-05,18,24,0.54,0.17,0.0
Cyprus,2021-03-05,25,49,1.71,1.03,0.0
Cyprus,2021-03-05,50,59,2.5,1.58,0.0
Cyprus,2021-03-05,60,69,3.21,1.53,0.0
Cyprus,2021-03-05,70,79,48.27,2.45,0.0
Cyprus,2021-03-05,80,,75.26,58.12,0.0
Cyprus,2021-03-12,18,24,0.66,0.18,0.0
Cyprus,2021-03-12,25,49,1.87,1.04,0.0
Cyprus,2021-03-12,50,59,2.73,1.64,0.0
Cyprus,2021-03-12,60,69,9.19,1.59,0.0
Cyprus,2021-03-12,70,79,67.11,4.18,0.0
Cyprus,2021-03-12,80,,78.61,66.0,0.0
Cyprus,2021-03-19,18,24,0.67,0.18,0.0
Cyprus,2021-03-19,25,49,1.9,1.05,0.0
Cyprus,2021-03-19,50,59,2.8,1.65,0.0
Cyprus,2021-03-19,60,69,11.08,1.61,0.0
Cyprus,2021-03-19,70,79,69.06,9.94,0.0
Cyprus,2021-03-19,80,,79.14,67.11,0.0
Cyprus,2021-03-26,15,17,0.01,0.0,0.0
Cyprus,2021-03-26,18,24,0.69,0.18,0.0
Cyprus,2021-03-26,25,49,2.0,1.06,0.0
Cyprus,2021-03-26,50,59,2.95,1.67,0.0
Cyprus,2021-03-26,60,69,18.82,1.69,0.0
Cyprus,2021-03-26,70,79,74.44,15.25,0.0
Cyprus,2021-03-26,80,,81.0,67.65,0.0
Cyprus,2021-04-02,15,17,0.04,0.0,0.0
Cyprus,2021-04-02,18,24,0.84,0.19,0.0
Cyprus,2021-04-02,25,49,2.48,1.08,0.0
Cyprus,2021-04-02,50,59,4.34,1.69,0.0
